cantidad	date
48.50	19610101
95.00	19620101
15.30	19670101
137	19680101
85	19690101
151.5	19710101
115.00	19760101
205	19770101
165	19780101
306	19790101
95	19800101
400	19810101
100.00	19830101
240	19850101
498.5	19860101
951	19870101
1506.5	19880101
6.50	19890101
300	19900101
732.5	19910101
320	19920101
1590	19930101
698.5	19940101
2369.4	19950101
1194.5	19960101
1045.1	19970101
4108.9	19980101
392.15	19990101
440.69	20000101
743.35	20010101
1851.14	20030101
1036.34	20040101
495	20050101
1165	20060101
1207.09	20070101
629.15	20080101
1440.42	20090101
1595.9	20100101
1112.44	20110101
0.06	20120101
5.86	20130101
250.50	20140101
1292.54	20150101
895	20160101
1730	20170101
1650	20180101
1336	20190101
335	20200101
630	20210101
