cantidad	date
0	20130410
868	20130419
1348	20130426
1103	20130503
1084	20130510
1401	20130517
1173	20130524
1331	20130531
1677	20130607
0	20130610
964	20130614
1653	20130624
794	20130628
0	20130701
1345	20130705
1641	20130712
1211	20130719
1065	20130726
1082	20130802
1293	20130809
1109	20130816
982	20130823
1739	20130830
1870	20130906
1407	20130913
1638	20130920
1102	20130927
939	20131004
1493	20131011
1381	20131018
1214	20131025
1620	20131101
1383	20131108
1562	20131115
1576	20131122
1160	20131129
1335	20131206
1004	20131213
1425	20131220
1009	20131227
339	20140103
700	20140110
1125	20140117
1144	20140124
1614	20140131
1349	20140207
1190	20140214
1158	20140221
1037	20140228
1071	20140307
630	20140314
1371	20140321
0	20140327
1004	20140328
1016	20140404
1145	20140411
1235	20140421
729	20140425
1076	20140505
924	20140509
1392	20140516
1607	20140523
1464	20140530
1602	20140606
1267	20140613
1873	20140623
1141	20140630
1004	20140704
1320	20140711
1193	20140718
1298	20140725
1249	20140801
1439	20140815
796	20140822
1751	20140829
1573	20140905
1767	20140912
1360	20140919
1605	20140926
1303	20141003
1923	20141010
967	20141017
1671	20141024
1636	20141031
1666	20141107
1317	20141114
1437	20141121
921	20141128
1286	20141205
1297	20141212
0	20141218
1302	20141219
882	20141229
844	20150109
1375	20150116
1293	20150123
941	20150206
1325	20150213
776	20150220
818	20150227
855	20150306
1063	20150313
1095	20150320
947	20150327
1763	20150410
1744	20150417
1744	20150504
879	20150508
1211	20150515
1425	20150522
1012	20150529
1452	20150605
1411	20150612
1431	20150619
1333	20150626
1714	20150703
1404	20150710
1336	20150717
1455	20150724
1368	20150731
1158	20150807
1466	20150814
1590	20150821
1650	20150828
1814	20150904
1677	20150911
1969	20150918
1881	20150925
1492	20151002
1329	20151009
1029	20151016
1606	20151023
1859	20151030
1647	20151106
1646	20151113
1438	20151120
1402	20151130
1290	20151204
990	20151218
1606	20151228
1037	20160108
1054	20160115
890	20160122
1397	20160129
1019	20160205
1013	20160215
933	20160219
1178	20160226
765	20160304
905	20160311
995	20160318
1469	20160401
933	20160408
961	20160415
1026	20160422
1150	20160429
744	20160506
838	20160513
903	20160520
895	20160527
763	20160603
1166	20160610
1009	20160621
759	20160624
1021	20160701
1046	20160711
1002	20160715
1028	20160722
1193	20160729
1179	20160805
1208	20160812
1134	20160819
1017	20160826
845	20160902
1277	20160909
0	20161123
0	20170119
220	20170616
1023	20170623
908	20170630
999	20170707
1018	20170714
