fechas,monto
19970919,2000000000
19980116,614200000
19980116,300000000
19980116,614200000
19980211,550000000
19980331,550000000
19980414,9750000000
19980506,1000000000
19980529,300000000
19980617,2750000000
19980619,300000000
19980721,1250000000
19980721,300000000
19980814,550000000
19980918,300000000
19981016,550000000
19981103,260000000
19981110,2000000000
19981113,300000000
19981207,1000000000
19981221,300000000
19990217,425000000
19990305,16350000000
19990322,550000000
19990420,425000000
19990426,1000000000
19990512,1000000000
19990514,425000000
19990519,1500000000
19990519,3000000000
19990611,477367800
19990622,425000000
19990716,1000000000
19990716,1000000000
19990719,425000000
19990811,2000000000
19990813,425000000
19990825,3435086000
19990825,1500000000
19990825,100000000
19990917,425000000
19991014,425000000
19991112,550000000
19991221,425000000
19991229,95000000
19991229,50000000
20000114,400000000
20000131,300000000
20000216,1800000000
20000216,1850000000
20000222,3000000000
20000222,1000000000
20000225,303714166
20000315,303714166
20000321,3000000000
20000705,750000000
20000714,550000000
20000731,1800000
20000731,1850000
20000913,3000000000
20000915,1250000000
20001003,300000000
20001110,255589000
20001201,1000000000
20010403,500000000
20010406,1850000000
20010406,1000000000
20010419,400000000
20010427,760000000
20010427,380000000
20010427,380000000
20010430,500000000
20010604,2000000000
20010629,1987310438
20010629,1935604851
20010629,991439217
20010629,443344079
20010629,73001103
20010703,8073396571
20010718,11157961092
20010718,6962584361
20010718,8820686902
20010724,2000000000
20010726,250000000
20010726,250000000
20010807,250000000
20010813,250000000
20010813,250000000
20010824,4800000000
20010824,1000000000
20010824,743290000
20010828,200000000
20010828,300000000
20010918,5543290000
20010918,190000000
20011004,500000000
20011004,500000000
20011012,200000000
20011012,25000000
20011012,200000000
20011106,350000000
20011119,743290000
20011129,2000000000
20011130,380000000
20011204,380000000
20011218,93185500
20011220,350000000
20011220,1100000000
20011220,200000000
20011220,200000000
20011220,200000000
20020110,60000000
20020110,60000000
20020211,110000000
20020220,6000000
20020301,8073396571
20050622,116890000
20051220,495710200
20051223,270444300
20051227,631648308
20060124,312402300
20060209,308356400
20060227,308166400
20060306,307314000
20060320,1500000000
20060516,239020000
20060622,242571200
20060707,245022900
20060728,482218200
20060907,2000000000
20060913,5000000
20060913,5000000
20061108,419874000
20070112,2000000000
20070223,778614066
20070815,604960677
20071204,604047115
20071221,2500000000
20071221,2073922000
20071225,2500000000
20071225,2073922000
20071231,502835338
20080527,1362862010
20080808,1461988300
20090309,5000000
20090330,5000000
20100202,17885309
20100202,1100000000
20100429,2000000000
20100429,1800000000
20100611,1200000000
20100611,600000000
20100618,600000000
20100629,125000000
20100910,900000000
20101214,79950317
20110203,258000000
20111202,800000000
20111207,500000000
20111207,900000000
20120404,3500000000
20140430,358878285
20140430,119530467
20140508,800000000
20140508,1250000000
20140508,400000000
20140508,3550000000
20141022,1000000000
20141113,1000000000
20150522,376996109
20150522,125581696
20150818,1500000000
20150908,784274403
20151008,1000000000
20160401,12500000000
20160415,12500000000
20160422,12500000000
20160422,16500000000
20160502,526372392
20160505,250000000
20160517,350000000
20160517,350000000
20160523,1142444272
20160601,350000000
20160615,300000000
20160615,400000000
20160622,500000000
20160623,100000000
20160706,2750000000
20160720,300000000
20160722,3000000000
20160802,350000000
20160809,200000000
20160818,300000000
20160819,350000000
20160823,83235556
20160831,400000000
20160906,135694757
20160920,500000000
20160920,200000000
20161206,202000000
20161206,266303265
20161221,3000000000
20170102,12500000000
20170102,16500000000
20170111,1000000000
20170125,1500000000
20170125,500000000
20170126,7000000000
20170131,90560000
20170215,750000000
20170302,500000000
20170302,500000000
20170307,1570000000
20170314,500000000
20170314,500000000
20170314,500000000
20170330,500000000
20170330,250000000
20170330,500000000
20170330,500000000
20170410,130789971
20170411,500000000
20170411,750000000
20170418,91127725
20170425,400000000
20170509,600000000
20170523,500000000
20170613,500000000
20170613,500000000
20170613,500000000
