cantidad	date
48	19930101
38	19930201
31	19930301
80	19930401
30	19930501
62	19930601
114	19930701
46	19930801
102	19930901
73	19931001
91	19931101
8	19931201
87	19970901
99	19971001
91	19971101
202	19971201
100	19980101
47	19980201
67	19980301
73	19980401
111	19980501
107	19980601
100	19980701
80	19980801
45	19980901
78	19981001
90	19981101
77	19981201
91	19990101
123	19990201
89	19990301
166	19990401
77	19990501
82	19990601
80	19990701
81	19990801
107	19990901
176	19991001
84	19991101
254	19991201
101	20000101
60	20000201
94	20000301
38	20000401
64	20000501
32	20000601
84	20000701
46	20000801
86	20000901
79	20001001
70	20001101
71	20001201
71	20010101
76	20010201
78	20010301
76	20010401
83	20010501
192	20010601
52	20010701
72	20010801
75	20010901
102	20011001
102	20011101
77	20011201
146	20020101
125	20020201
107	20020301
95	20020401
79	20020501
121	20020601
107	20020701
91	20020801
113	20020901
151	20021001
165	20021101
101	20021201
130	20030101
64	20030201
86	20030301
157	20030401
143	20030501
138	20030601
153	20030701
301	20030801
128	20030901
188	20031001
142	20031101
115	20031201
83	20040101
90	20040201
580	20040301
226	20040401
165	20040501
162	20040601
162	20040701
152	20040801
129	20040901
157	20041001
197	20041101
256	20041201
161	20050101
122	20050201
50	20050301
288	20050401
414	20050501
183	20050601
192	20050701
118	20050801
174	20050901
236	20051001
270	20051101
154	20051201
346	20060101
210	20060201
761	20060301
195	20060401
260	20060501
156	20060601
194	20060701
331	20060801
221	20060901
395	20061001
248	20061101
168	20061201
212	20070101
238	20070201
206	20070301
384	20070401
219	20070501
258	20070601
261	20070701
114	20070801
143	20070901
376	20071001
173	20071101
333	20071201
196	20080101
337	20080201
215	20080301
369	20080401
164	20080501
225	20080601
202	20080701
174	20080801
224	20080901
211	20081001
370	20081101
300	20081201
257	20090101
132	20090201
111	20090301
312	20090401
223	20090501
163	20090601
248	20090701
176	20090801
204	20090901
344	20091001
476	20091101
349	20091201
423	20100101
239	20100201
245	20100301
234	20100401
263	20100501
399	20100601
334	20100701
251	20100801
331	20100901
322	20101001
350	20101101
235	20101201
166	20110101
277	20110201
375	20110301
243	20110401
234	20110501
401	20110601
343	20110701
664	20110801
588	20110901
638	20111001
621	20111101
557	20111201
460	20120101
185	20120201
340	20120301
202	20120401
372	20120501
324	20120601
496	20120701
375	20120801
316	20120901
442	20121001
359	20121101
455	20121201
397	20130101
709	20130201
312	20130301
201	20130401
364	20130501
529	20130601
1070	20130701
557	20130801
819	20130901
375	20131001
568	20131101
368	20131201
384	20140101
586	20140201
174	20140301
360	20140401
321	20140501
406	20140601
335	20140701
787	20140801
376	20140901
684	20141001
378	20141101
431	20141201
422	20150101
303	20150201
322	20150301
319	20150401
507	20150501
421	20150601
422	20150701
516	20150801
266	20150901
331	20151001
511	20151101
670	20151201
404	20160101
337	20160201
411	20160301
368	20160401
353	20160501
389	20160601
565	20160701
492	20160801
427	20160901
487	20161001
508	20161101
556	20161201
371	20170101
317	20170201
512	20170301
270	20170401
285	20170501
743	20170601
511	20170701
546	20170801
156	20170901
