fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,13.7,60,13,0.0 
4/4/2021 03:00,12.7,38,11,0.0 
4/4/2021 06:00,12.0,53,10,0.0 
4/4/2021 09:00,14.9,43,11,0.0 
4/4/2021 12:00,21.2,30,14,0.0 
4/4/2021 15:00,23.3,26,17,0.0 
4/4/2021 18:00,20.1,70,12,0.0 
4/4/2021 21:00,15.9,49,12,0.0 
5/4/2021 00:00,14.1,66,13,0.0 
5/4/2021 03:00,13.2,48,11,0.0 
5/4/2021 06:00,12.6,57,11,0.0 
5/4/2021 09:00,15.6,54,12,0.0 
5/4/2021 12:00,22.4,36,16,0.0 
5/4/2021 15:00,24.6,28,14,0.0 
5/4/2021 18:00,22.0,57,9,0.0 
5/4/2021 21:00,17.5,89,11,0.0 
6/4/2021 00:00,16.1,79,12,0.0 
6/4/2021 03:00,15.2,66,11,0.0 
6/4/2021 06:00,14.4,66,12,0.0 
6/4/2021 09:00,17.1,58,15,0.0 
6/4/2021 12:00,23.3,44,19,0.0 
6/4/2021 15:00,25.3,28,20,0.0 
6/4/2021 18:00,22.4,48,12,0.0 
6/4/2021 21:00,18.1,67,15,0.0 
7/4/2021 00:00,16.5,55,16,0.0 
7/4/2021 03:00,14.6,49,12,0.0 
7/4/2021 06:00,14.3,56,11,0.0 
7/4/2021 09:00,17.6,32,15,0.0 
7/4/2021 12:00,22.0,7,18,0.0 
7/4/2021 15:00,24.8,5,21,0.0 
7/4/2021 18:00,23.0,357,13,0.0 
7/4/2021 21:00,20.6,18,16,0.0 
8/4/2021 00:00,20.3,25,14,0.0 
8/4/2021 03:00,20.6,4,14,0.0 
8/4/2021 06:00,19.7,331,12,0.1 
8/4/2021 09:00,18.6,249,3,0.4 
8/4/2021 12:00,23.7,321,19,0.6 
8/4/2021 15:00,23.8,281,14,2.3 
8/4/2021 18:00,16.6,157,14,12.2 
8/4/2021 21:00,16.6,138,6,3.2 
