fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.2,44,10,0.0 
26/4/2021 03:00,10.4,348,12,0.0 
26/4/2021 06:00,9.5,328,12,0.0 
26/4/2021 09:00,11.3,337,11,0.0 
26/4/2021 12:00,17.9,326,14,0.0 
26/4/2021 15:00,20.4,315,15,0.0 
26/4/2021 18:00,17.7,325,11,0.0 
26/4/2021 21:00,13.7,331,13,0.0 
27/4/2021 00:00,11.8,341,14,0.0 
27/4/2021 03:00,11.1,352,14,0.0 
27/4/2021 06:00,10.6,345,12,0.0 
27/4/2021 09:00,12.6,345,13,0.0 
27/4/2021 12:00,20.5,325,21,0.0 
27/4/2021 15:00,23.2,323,23,0.0 
27/4/2021 18:00,20.0,334,20,0.0 
27/4/2021 21:00,15.1,341,17,0.0 
28/4/2021 00:00,15.3,335,23,0.0 
28/4/2021 03:00,14.6,327,22,0.0 
28/4/2021 06:00,13.8,323,21,0.0 
28/4/2021 09:00,14.6,320,21,0.0 
28/4/2021 12:00,22.2,307,25,0.0 
28/4/2021 15:00,25.2,308,24,0.0 
28/4/2021 18:00,21.7,320,18,0.0 
28/4/2021 21:00,16.1,334,16,0.0 
29/4/2021 00:00,14.9,337,18,0.0 
29/4/2021 03:00,14.9,336,21,0.0 
29/4/2021 06:00,14.2,331,20,0.0 
29/4/2021 09:00,15.4,340,21,0.0 
29/4/2021 12:00,22.7,332,30,0.0 
29/4/2021 15:00,24.6,335,33,0.0 
29/4/2021 18:00,20.3,343,26,0.0 
29/4/2021 21:00,16.4,347,20,0.0 
30/4/2021 00:00,16.4,341,23,0.0 
30/4/2021 03:00,15.6,345,27,0.0 
30/4/2021 06:00,14.9,346,29,0.0 
30/4/2021 09:00,15.6,345,32,0.0 
30/4/2021 12:00,21.6,332,36,0.0 
30/4/2021 15:00,23.2,335,35,0.0 
30/4/2021 18:00,19.1,343,25,0.0 
30/4/2021 21:00,14.6,1,17,0.0 
