fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,11.9,315,14,0.0 
13/4/2021 03:00,11.2,314,14,0.0 
13/4/2021 06:00,10.5,309,13,0.0 
13/4/2021 09:00,13.1,315,13,0.0 
13/4/2021 12:00,19.6,316,14,0.0 
13/4/2021 15:00,21.6,324,14,0.0 
13/4/2021 18:00,17.9,339,11,0.0 
13/4/2021 21:00,13.8,349,13,0.0 
14/4/2021 00:00,12.4,353,13,0.0 
14/4/2021 03:00,11.4,348,14,0.0 
14/4/2021 06:00,10.4,356,14,0.0 
14/4/2021 09:00,12.8,1,18,0.0 
14/4/2021 12:00,18.5,353,27,0.0 
14/4/2021 15:00,19.9,347,26,0.0 
14/4/2021 18:00,17.0,355,19,0.0 
14/4/2021 21:00,12.7,2,13,0.0 
15/4/2021 00:00,12.3,357,16,0.0 
15/4/2021 03:00,12.0,350,18,0.0 
15/4/2021 06:00,11.4,332,16,0.0 
15/4/2021 09:00,13.7,323,17,0.0 
15/4/2021 12:00,20.0,314,18,0.0 
15/4/2021 15:00,22.5,295,16,0.0 
15/4/2021 18:00,19.3,335,12,0.0 
15/4/2021 21:00,15.6,326,12,0.0 
16/4/2021 00:00,14.4,309,11,0.0 
16/4/2021 03:00,13.7,289,10,0.0 
16/4/2021 06:00,13.2,284,8,0.0 
16/4/2021 09:00,15.6,314,6,0.0 
16/4/2021 12:00,21.3,287,7,0.0 
16/4/2021 15:00,23.6,202,3,0.0 
16/4/2021 18:00,20.4,110,3,0.0 
16/4/2021 21:00,16.7,80,9,0.0 
17/4/2021 00:00,14.9,34,10,0.0 
17/4/2021 03:00,14.0,12,10,0.0 
17/4/2021 06:00,13.4,9,10,0.0 
17/4/2021 09:00,15.5,31,11,0.0 
17/4/2021 12:00,20.9,13,16,0.0 
17/4/2021 15:00,22.5,6,16,0.0 
17/4/2021 18:00,19.0,12,13,0.0 
17/4/2021 21:00,14.8,30,13,0.0 
