fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,14.0,258,4,0.0 
25/4/2021 03:00,14.0,317,4,0.2 
25/4/2021 06:00,14.0,241,3,0.9 
25/4/2021 09:00,14.5,237,3,0.1 
25/4/2021 12:00,15.4,254,5,0.3 
25/4/2021 15:00,18.9,247,10,1.0 
25/4/2021 18:00,14.9,230,7,0.3 
25/4/2021 21:00,12.6,175,7,0.1 
26/4/2021 00:00,11.4,181,6,0.0 
26/4/2021 03:00,10.3,168,7,0.0 
26/4/2021 06:00,9.4,169,6,0.0 
26/4/2021 09:00,13.4,167,7,0.0 
26/4/2021 12:00,19.4,216,6,0.0 
26/4/2021 15:00,20.4,225,8,0.0 
26/4/2021 18:00,14.1,183,7,0.0 
26/4/2021 21:00,10.9,153,7,0.0 
27/4/2021 00:00,9.9,158,7,0.0 
27/4/2021 03:00,8.4,153,7,0.0 
27/4/2021 06:00,7.9,148,5,0.0 
27/4/2021 09:00,14.7,148,4,0.0 
27/4/2021 12:00,20.3,212,6,0.0 
27/4/2021 15:00,20.6,223,9,0.0 
27/4/2021 18:00,13.4,179,8,0.0 
27/4/2021 21:00,10.5,159,8,0.0 
28/4/2021 00:00,9.5,152,8,0.0 
28/4/2021 03:00,8.2,149,7,0.0 
28/4/2021 06:00,7.4,137,7,0.0 
28/4/2021 09:00,14.5,101,5,0.0 
28/4/2021 12:00,21.2,103,4,0.0 
28/4/2021 15:00,22.3,165,6,0.0 
28/4/2021 18:00,14.6,166,8,0.0 
28/4/2021 21:00,11.6,155,8,0.0 
29/4/2021 00:00,10.7,135,8,0.0 
29/4/2021 03:00,10.0,112,8,0.0 
29/4/2021 06:00,9.2,92,8,0.0 
29/4/2021 09:00,14.8,62,11,0.0 
29/4/2021 12:00,20.9,43,10,0.0 
29/4/2021 15:00,22.9,72,7,0.0 
29/4/2021 18:00,16.1,125,5,0.0 
29/4/2021 21:00,13.6,109,8,0.0 
