fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,12.9,332,10,0.0 
13/4/2021 03:00,11.7,320,11,0.0 
13/4/2021 06:00,10.8,308,8,0.0 
13/4/2021 09:00,13.1,331,8,0.0 
13/4/2021 12:00,19.2,342,12,0.0 
13/4/2021 15:00,21.5,351,12,0.0 
13/4/2021 18:00,18.6,23,10,0.0 
13/4/2021 21:00,14.5,29,11,0.0 
14/4/2021 00:00,12.9,16,12,0.0 
14/4/2021 03:00,11.5,8,11,0.0 
14/4/2021 06:00,10.8,19,11,0.0 
14/4/2021 09:00,12.8,24,15,0.0 
14/4/2021 12:00,18.6,9,22,0.0 
14/4/2021 15:00,20.6,6,21,0.0 
14/4/2021 18:00,18.0,25,12,0.0 
14/4/2021 21:00,14.4,27,12,0.0 
15/4/2021 00:00,13.2,16,12,0.0 
15/4/2021 03:00,12.4,0,11,0.0 
15/4/2021 06:00,12.0,344,9,0.0 
15/4/2021 09:00,14.3,341,9,0.0 
15/4/2021 12:00,20.2,323,9,0.0 
15/4/2021 15:00,22.9,326,7,0.0 
15/4/2021 18:00,20.4,19,8,0.0 
15/4/2021 21:00,16.5,25,7,0.0 
16/4/2021 00:00,15.2,6,6,0.0 
16/4/2021 03:00,14.4,310,2,0.0 
16/4/2021 06:00,13.8,19,8,0.0 
16/4/2021 09:00,15.9,77,4,0.0 
16/4/2021 12:00,21.4,44,6,0.0 
16/4/2021 15:00,23.6,36,6,0.0 
16/4/2021 18:00,20.8,65,6,0.0 
16/4/2021 21:00,17.3,69,10,0.0 
17/4/2021 00:00,16.0,49,10,0.0 
17/4/2021 03:00,14.8,57,9,0.0 
17/4/2021 06:00,13.8,67,10,0.0 
17/4/2021 09:00,15.5,54,13,0.0 
17/4/2021 12:00,20.8,43,16,0.0 
17/4/2021 15:00,22.8,35,17,0.0 
17/4/2021 18:00,19.5,53,12,0.0 
17/4/2021 21:00,16.0,57,12,0.0 
