fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.6,88,11,0.0 
4/4/2021 03:00,17.5,94,10,0.0 
4/4/2021 06:00,17.2,64,9,0.0 
4/4/2021 09:00,19.1,49,14,0.0 
4/4/2021 12:00,21.9,34,15,0.0 
4/4/2021 15:00,23.5,52,16,0.0 
4/4/2021 18:00,22.3,73,14,0.0 
4/4/2021 21:00,19.7,85,12,0.0 
5/4/2021 00:00,16.6,88,12,0.0 
5/4/2021 03:00,16.4,85,11,0.0 
5/4/2021 06:00,16.2,81,10,0.0 
5/4/2021 09:00,20.3,61,12,0.0 
5/4/2021 12:00,26.0,52,14,0.0 
5/4/2021 15:00,28.3,49,12,0.0 
5/4/2021 18:00,24.6,68,17,0.0 
5/4/2021 21:00,20.3,93,12,0.0 
6/4/2021 00:00,18.7,94,13,0.0 
6/4/2021 03:00,17.6,88,9,0.0 
6/4/2021 06:00,17.1,66,10,0.0 
6/4/2021 09:00,21.1,62,12,0.0 
6/4/2021 12:00,26.5,57,19,0.0 
6/4/2021 15:00,27.4,57,20,0.0 
6/4/2021 18:00,24.6,75,17,0.0 
6/4/2021 21:00,19.7,79,14,0.0 
7/4/2021 00:00,18.5,71,13,0.0 
7/4/2021 03:00,17.8,69,13,0.0 
7/4/2021 06:00,17.9,53,13,0.0 
7/4/2021 09:00,20.6,39,17,0.0 
7/4/2021 12:00,26.1,8,22,0.0 
7/4/2021 15:00,26.5,354,19,0.0 
7/4/2021 18:00,25.6,10,7,0.0 
7/4/2021 21:00,23.2,61,10,0.0 
8/4/2021 00:00,22.1,50,10,0.0 
8/4/2021 03:00,21.6,9,13,0.0 
8/4/2021 06:00,21.7,358,17,0.0 
8/4/2021 09:00,21.5,5,18,0.0 
8/4/2021 12:00,26.3,352,23,0.0 
8/4/2021 15:00,28.0,334,22,0.0 
8/4/2021 18:00,25.6,352,9,0.0 
8/4/2021 21:00,22.1,4,13,0.0 
