fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,15.5,5,5,0.0 
13/4/2021 03:00,14.1,269,5,0.0 
13/4/2021 06:00,12.3,24,2,0.0 
13/4/2021 09:00,16.0,74,4,0.0 
13/4/2021 12:00,21.2,143,7,0.0 
13/4/2021 15:00,24.9,150,7,0.0 
13/4/2021 18:00,25.1,115,4,0.0 
13/4/2021 21:00,18.5,26,11,0.0 
14/4/2021 00:00,17.0,23,10,0.0 
14/4/2021 03:00,15.4,12,5,0.0 
14/4/2021 06:00,13.3,24,2,0.0 
14/4/2021 09:00,16.9,95,1,0.0 
14/4/2021 12:00,23.0,143,3,0.0 
14/4/2021 15:00,27.0,152,9,0.0 
14/4/2021 18:00,26.6,81,11,0.0 
14/4/2021 21:00,19.6,23,7,0.0 
15/4/2021 00:00,18.9,268,9,0.0 
15/4/2021 03:00,17.2,238,10,0.0 
15/4/2021 06:00,15.2,58,2,0.0 
15/4/2021 09:00,18.4,71,6,0.0 
15/4/2021 12:00,23.8,156,7,0.0 
15/4/2021 15:00,27.5,165,8,0.0 
15/4/2021 18:00,27.4,150,8,0.0 
15/4/2021 21:00,20.6,40,9,0.0 
16/4/2021 00:00,19.3,32,9,0.0 
16/4/2021 03:00,18.2,325,3,0.0 
16/4/2021 06:00,16.6,264,7,0.0 
16/4/2021 09:00,19.5,246,3,0.0 
16/4/2021 12:00,24.5,146,5,0.0 
16/4/2021 15:00,27.7,142,13,0.0 
16/4/2021 18:00,24.7,55,9,0.2 
16/4/2021 21:00,21.1,44,10,0.1 
17/4/2021 00:00,19.2,16,6,0.0 
17/4/2021 03:00,18.0,13,5,0.0 
17/4/2021 06:00,17.4,291,5,0.0 
17/4/2021 09:00,19.4,321,1,0.0 
17/4/2021 12:00,23.8,85,12,0.1 
17/4/2021 15:00,24.7,52,21,0.2 
17/4/2021 18:00,24.7,50,22,0.0 
17/4/2021 21:00,19.3,31,13,0.0 
