fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,13.5,88,9,0.0 
13/4/2021 03:00,12.6,79,9,0.0 
13/4/2021 06:00,12.1,88,11,0.0 
13/4/2021 09:00,14.9,73,11,0.0 
13/4/2021 12:00,20.4,48,12,0.0 
13/4/2021 15:00,22.5,56,11,0.0 
13/4/2021 18:00,20.9,80,10,0.0 
13/4/2021 21:00,16.3,102,13,0.0 
14/4/2021 00:00,14.8,88,12,0.0 
14/4/2021 03:00,13.6,88,11,0.0 
14/4/2021 06:00,12.9,82,12,0.0 
14/4/2021 09:00,15.6,69,12,0.0 
14/4/2021 12:00,19.9,44,13,0.0 
14/4/2021 15:00,22.0,57,11,0.0 
14/4/2021 18:00,20.8,81,12,0.0 
14/4/2021 21:00,16.1,73,12,0.0 
15/4/2021 00:00,15.2,81,8,0.0 
15/4/2021 03:00,15.1,102,8,0.0 
15/4/2021 06:00,15.0,80,5,0.0 
15/4/2021 09:00,18.0,74,6,0.0 
15/4/2021 12:00,22.4,56,5,0.1 
15/4/2021 15:00,23.0,20,14,0.2 
15/4/2021 18:00,20.1,61,8,0.0 
15/4/2021 21:00,17.5,35,10,0.0 
16/4/2021 00:00,17.2,9,5,0.0 
16/4/2021 03:00,16.7,99,3,0.0 
16/4/2021 06:00,16.4,120,6,0.0 
16/4/2021 09:00,18.9,97,7,0.0 
16/4/2021 12:00,23.3,71,8,0.0 
16/4/2021 15:00,25.2,106,6,0.0 
16/4/2021 18:00,23.6,126,8,0.0 
16/4/2021 21:00,22.7,121,10,0.0 
17/4/2021 00:00,20.4,138,11,0.0 
17/4/2021 03:00,20.4,138,9,0.0 
17/4/2021 06:00,19.3,129,10,0.0 
17/4/2021 09:00,20.3,127,9,0.0 
17/4/2021 12:00,23.2,95,13,0.1 
17/4/2021 15:00,25.3,101,10,0.0 
17/4/2021 18:00,23.6,100,7,0.0 
17/4/2021 21:00,19.8,124,13,0.0 
