fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,13.3,6,18,0.0 
13/4/2021 03:00,12.8,13,19,0.0 
13/4/2021 06:00,11.7,14,18,0.0 
13/4/2021 09:00,13.6,15,24,0.0 
13/4/2021 12:00,19.1,26,31,0.0 
13/4/2021 15:00,22.2,29,29,0.0 
13/4/2021 18:00,21.3,30,30,0.0 
13/4/2021 21:00,16.4,19,22,0.0 
14/4/2021 00:00,15.7,11,25,0.0 
14/4/2021 03:00,14.2,14,27,0.0 
14/4/2021 06:00,13.2,16,25,0.0 
14/4/2021 09:00,14.3,18,29,0.0 
14/4/2021 12:00,19.6,26,36,0.0 
14/4/2021 15:00,23.2,25,33,0.0 
14/4/2021 18:00,22.6,30,28,0.0 
14/4/2021 21:00,17.6,21,17,0.0 
15/4/2021 00:00,17.1,356,17,0.0 
15/4/2021 03:00,16.2,357,18,0.0 
15/4/2021 06:00,15.8,8,14,0.0 
15/4/2021 09:00,17.4,15,16,0.0 
15/4/2021 12:00,22.6,38,19,0.0 
15/4/2021 15:00,25.2,45,17,0.0 
15/4/2021 18:00,24.5,39,19,0.0 
15/4/2021 21:00,20.0,9,17,0.0 
16/4/2021 00:00,18.6,5,19,0.0 
16/4/2021 03:00,17.5,4,17,0.0 
16/4/2021 06:00,16.3,9,18,0.0 
16/4/2021 09:00,17.9,13,19,0.0 
16/4/2021 12:00,22.3,27,24,0.0 
16/4/2021 15:00,24.8,25,23,0.0 
16/4/2021 18:00,24.5,20,21,0.0 
16/4/2021 21:00,20.4,353,16,0.0 
17/4/2021 00:00,18.7,11,19,0.0 
17/4/2021 03:00,17.5,9,22,0.0 
17/4/2021 06:00,16.8,12,21,0.0 
17/4/2021 09:00,17.6,16,25,0.0 
17/4/2021 12:00,22.1,27,32,0.0 
17/4/2021 15:00,23.7,21,30,0.0 
17/4/2021 18:00,22.8,24,27,0.0 
17/4/2021 21:00,21.1,4,24,0.0 
