fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.3,59,2,0.0 
25/4/2021 03:00,10.3,319,3,0.0 
25/4/2021 06:00,9.7,66,2,0.0 
25/4/2021 09:00,11.1,112,0,0.0 
25/4/2021 12:00,15.0,212,6,0.0 
25/4/2021 15:00,17.5,217,7,0.0 
25/4/2021 18:00,17.2,173,9,0.0 
25/4/2021 21:00,14.0,80,7,0.0 
26/4/2021 00:00,12.1,213,2,0.0 
26/4/2021 03:00,10.0,211,2,0.0 
26/4/2021 06:00,9.0,233,1,0.0 
26/4/2021 09:00,10.6,259,1,0.0 
26/4/2021 12:00,15.0,212,8,0.0 
26/4/2021 15:00,17.7,208,13,0.0 
26/4/2021 18:00,17.3,189,13,0.0 
26/4/2021 21:00,13.1,160,3,0.0 
27/4/2021 00:00,11.0,307,4,0.0 
27/4/2021 03:00,10.3,243,2,0.0 
27/4/2021 06:00,9.7,324,1,0.0 
27/4/2021 09:00,12.0,104,2,0.0 
27/4/2021 12:00,16.3,199,9,0.0 
27/4/2021 15:00,18.8,213,12,0.0 
27/4/2021 18:00,18.0,193,12,0.0 
27/4/2021 21:00,13.7,195,3,0.0 
28/4/2021 00:00,12.0,285,2,0.0 
28/4/2021 03:00,10.9,219,2,0.0 
28/4/2021 06:00,10.0,137,1,0.0 
28/4/2021 09:00,12.6,149,2,0.0 
28/4/2021 12:00,16.6,213,8,0.0 
28/4/2021 15:00,19.2,208,12,0.0 
28/4/2021 18:00,18.5,189,12,0.0 
28/4/2021 21:00,13.6,100,3,0.0 
29/4/2021 00:00,12.1,330,5,0.0 
29/4/2021 03:00,11.0,320,2,0.0 
29/4/2021 06:00,10.1,30,0,0.0 
29/4/2021 09:00,12.6,63,1,0.0 
29/4/2021 12:00,17.4,212,7,0.0 
29/4/2021 15:00,19.9,213,10,0.0 
29/4/2021 18:00,19.1,188,12,0.0 
29/4/2021 21:00,14.6,130,1,0.0 
