fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,13.8,54,13,0.0 
25/4/2021 03:00,12.6,37,11,0.0 
25/4/2021 06:00,11.5,32,12,0.0 
25/4/2021 09:00,11.1,34,12,0.0 
25/4/2021 12:00,16.1,22,23,0.0 
25/4/2021 15:00,18.8,24,24,0.0 
25/4/2021 18:00,18.8,30,23,0.0 
25/4/2021 21:00,15.8,54,20,0.0 
26/4/2021 00:00,14.0,41,17,0.0 
26/4/2021 03:00,12.7,29,16,0.0 
26/4/2021 06:00,11.5,38,12,0.0 
26/4/2021 09:00,11.5,36,9,0.0 
26/4/2021 12:00,16.1,3,9,0.0 
26/4/2021 15:00,19.0,269,2,0.0 
26/4/2021 18:00,19.9,157,2,0.0 
26/4/2021 21:00,17.3,38,3,0.0 
27/4/2021 00:00,16.0,357,3,0.0 
27/4/2021 03:00,15.6,356,6,0.0 
27/4/2021 06:00,14.8,14,7,0.0 
27/4/2021 09:00,14.8,2,8,0.0 
27/4/2021 12:00,19.3,4,7,0.0 
27/4/2021 15:00,23.0,318,8,0.0 
27/4/2021 18:00,23.4,302,7,0.0 
27/4/2021 21:00,20.2,197,8,0.0 
28/4/2021 00:00,18.9,44,9,0.0 
28/4/2021 03:00,17.2,330,9,0.0 
28/4/2021 06:00,16.6,169,11,0.0 
28/4/2021 09:00,16.2,137,13,0.0 
28/4/2021 12:00,20.7,92,13,0.0 
28/4/2021 15:00,24.1,31,13,0.0 
28/4/2021 18:00,23.8,358,12,0.0 
28/4/2021 21:00,20.9,34,10,0.0 
29/4/2021 00:00,18.6,15,18,0.0 
29/4/2021 03:00,16.7,19,15,0.0 
29/4/2021 06:00,15.6,33,17,0.0 
29/4/2021 09:00,15.0,344,14,0.0 
29/4/2021 12:00,21.6,350,18,0.0 
29/4/2021 15:00,26.6,347,24,0.0 
29/4/2021 18:00,23.8,271,11,0.0 
29/4/2021 21:00,20.6,19,14,0.0 
