fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,16.9,287,44,0.0 
13/4/2021 03:00,16.1,293,42,0.0 
13/4/2021 06:00,15.9,286,43,0.0 
13/4/2021 09:00,15.4,272,26,0.0 
13/4/2021 12:00,16.0,252,6,0.0 
13/4/2021 15:00,16.8,14,16,0.0 
13/4/2021 18:00,18.7,320,14,0.0 
13/4/2021 21:00,18.3,329,19,0.0 
14/4/2021 00:00,16.7,6,11,0.0 
14/4/2021 03:00,16.4,340,16,0.0 
14/4/2021 06:00,16.1,312,16,0.0 
14/4/2021 09:00,16.9,290,25,0.0 
14/4/2021 12:00,17.7,272,34,0.0 
14/4/2021 15:00,12.9,157,19,0.0 
14/4/2021 18:00,12.1,86,14,0.0 
14/4/2021 21:00,11.9,48,22,0.0 
15/4/2021 00:00,13.3,290,10,0.0 
15/4/2021 03:00,12.7,266,15,0.0 
15/4/2021 06:00,12.2,283,12,0.0 
15/4/2021 09:00,12.0,275,18,0.0 
15/4/2021 12:00,13.8,292,24,0.0 
15/4/2021 15:00,15.3,305,29,0.0 
15/4/2021 18:00,16.0,312,32,0.0 
15/4/2021 21:00,15.4,296,35,0.0 
16/4/2021 00:00,14.5,285,42,0.0 
16/4/2021 03:00,13.8,274,51,0.0 
16/4/2021 06:00,13.8,272,39,0.0 
16/4/2021 09:00,13.6,274,26,0.0 
16/4/2021 12:00,14.9,260,16,0.0 
16/4/2021 15:00,15.9,292,4,0.0 
16/4/2021 18:00,15.2,24,12,0.0 
16/4/2021 21:00,15.1,296,15,0.0 
17/4/2021 00:00,14.1,333,13,0.0 
17/4/2021 03:00,13.6,354,12,0.0 
17/4/2021 06:00,13.7,14,11,0.0 
17/4/2021 09:00,13.6,7,10,0.0 
17/4/2021 12:00,13.9,36,14,0.0 
17/4/2021 15:00,14.5,35,15,0.0 
17/4/2021 18:00,16.3,1,16,0.0 
17/4/2021 21:00,16.1,4,14,0.0 
