fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,10.8,183,10,0.0 
26/4/2021 03:00,10.3,186,8,0.0 
26/4/2021 06:00,10.0,139,7,0.0 
26/4/2021 09:00,12.9,137,7,0.0 
26/4/2021 12:00,18.1,149,9,0.0 
26/4/2021 15:00,19.9,180,10,0.0 
26/4/2021 18:00,16.9,179,11,0.0 
26/4/2021 21:00,14.6,162,9,0.0 
27/4/2021 00:00,11.8,174,7,0.0 
27/4/2021 03:00,10.0,137,7,0.0 
27/4/2021 06:00,9.2,100,6,0.0 
27/4/2021 09:00,12.6,98,6,0.0 
27/4/2021 12:00,18.3,111,5,0.0 
27/4/2021 15:00,20.1,152,6,0.0 
27/4/2021 18:00,16.6,131,9,0.0 
27/4/2021 21:00,12.7,134,9,0.0 
28/4/2021 00:00,11.0,115,7,0.0 
28/4/2021 03:00,9.7,97,7,0.0 
28/4/2021 06:00,8.9,83,5,0.0 
28/4/2021 09:00,12.7,77,6,0.0 
28/4/2021 12:00,18.8,93,6,0.0 
28/4/2021 15:00,21.0,138,6,0.0 
28/4/2021 18:00,17.0,123,9,0.0 
28/4/2021 21:00,13.0,122,6,0.0 
29/4/2021 00:00,11.1,105,6,0.0 
29/4/2021 03:00,9.8,71,7,0.0 
29/4/2021 06:00,8.9,75,8,0.0 
29/4/2021 09:00,12.7,46,8,0.0 
29/4/2021 12:00,19.8,66,10,0.0 
29/4/2021 15:00,22.2,59,10,0.0 
29/4/2021 18:00,17.3,93,8,0.0 
29/4/2021 21:00,13.4,93,6,0.0 
30/4/2021 00:00,11.4,60,9,0.0 
30/4/2021 03:00,10.2,55,10,0.0 
30/4/2021 06:00,9.1,63,10,0.0 
30/4/2021 09:00,13.3,53,12,0.0 
30/4/2021 12:00,21.6,38,15,0.0 
30/4/2021 15:00,24.7,26,16,0.0 
30/4/2021 18:00,19.9,63,12,0.0 
30/4/2021 21:00,16.3,36,11,0.0 
