fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.4,339,7,0.0 
4/4/2021 03:00,17.4,40,7,0.0 
4/4/2021 06:00,14.6,15,5,0.0 
4/4/2021 09:00,17.3,16,9,0.0 
4/4/2021 12:00,23.1,22,18,0.0 
4/4/2021 15:00,25.5,26,22,0.0 
4/4/2021 18:00,23.5,44,18,0.0 
4/4/2021 21:00,17.5,24,10,0.0 
5/4/2021 00:00,17.4,316,7,0.0 
5/4/2021 03:00,18.0,42,5,0.0 
5/4/2021 06:00,16.0,36,4,0.0 
5/4/2021 09:00,18.8,36,6,0.0 
5/4/2021 12:00,21.7,18,16,0.0 
5/4/2021 15:00,25.3,28,15,0.0 
5/4/2021 18:00,24.0,30,19,0.0 
5/4/2021 21:00,18.1,16,10,0.0 
6/4/2021 00:00,16.7,339,10,0.0 
6/4/2021 03:00,16.3,16,10,0.0 
6/4/2021 06:00,15.8,9,8,0.0 
6/4/2021 09:00,18.1,14,11,0.0 
6/4/2021 12:00,20.2,18,15,0.1 
6/4/2021 15:00,23.2,21,21,0.0 
6/4/2021 18:00,22.1,25,21,0.0 
6/4/2021 21:00,18.2,350,9,0.0 
7/4/2021 00:00,18.7,330,10,0.0 
7/4/2021 03:00,16.3,351,9,0.0 
7/4/2021 06:00,16.5,10,9,0.0 
7/4/2021 09:00,19.1,23,17,0.0 
7/4/2021 12:00,22.1,27,26,0.0 
7/4/2021 15:00,25.9,27,28,0.0 
7/4/2021 18:00,23.2,23,17,0.0 
7/4/2021 21:00,19.9,17,5,0.0 
8/4/2021 00:00,18.7,331,8,0.0 
8/4/2021 03:00,18.7,357,4,0.0 
8/4/2021 06:00,18.8,20,10,0.0 
8/4/2021 09:00,20.0,16,14,0.0 
8/4/2021 12:00,26.9,11,25,0.0 
8/4/2021 15:00,26.6,15,23,0.0 
8/4/2021 18:00,25.9,21,17,0.0 
8/4/2021 21:00,21.6,351,11,0.0 
