fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,10.3,29,6,0.0 
26/4/2021 03:00,9.5,359,6,0.0 
26/4/2021 06:00,8.9,8,6,0.0 
26/4/2021 09:00,10.9,15,6,0.0 
26/4/2021 12:00,17.1,27,13,0.0 
26/4/2021 15:00,20.3,40,13,0.0 
26/4/2021 18:00,18.3,55,15,0.0 
26/4/2021 21:00,13.0,13,10,0.0 
27/4/2021 00:00,11.4,3,8,0.0 
27/4/2021 03:00,10.3,7,5,0.0 
27/4/2021 06:00,9.7,9,3,0.0 
27/4/2021 09:00,11.8,5,5,0.0 
27/4/2021 12:00,19.1,29,13,0.0 
27/4/2021 15:00,22.0,37,17,0.0 
27/4/2021 18:00,19.1,49,18,0.0 
27/4/2021 21:00,13.6,6,11,0.0 
28/4/2021 00:00,12.1,10,8,0.0 
28/4/2021 03:00,11.1,353,5,0.0 
28/4/2021 06:00,10.3,345,1,0.0 
28/4/2021 09:00,12.6,0,3,0.0 
28/4/2021 12:00,19.8,30,12,0.0 
28/4/2021 15:00,23.1,40,13,0.0 
28/4/2021 18:00,20.2,54,17,0.0 
28/4/2021 21:00,14.5,7,10,0.0 
29/4/2021 00:00,12.8,18,10,0.0 
29/4/2021 03:00,11.8,355,7,0.0 
29/4/2021 06:00,10.7,9,6,0.0 
29/4/2021 09:00,12.5,16,7,0.0 
29/4/2021 12:00,20.2,25,20,0.0 
29/4/2021 15:00,22.4,32,25,0.0 
29/4/2021 18:00,19.1,36,22,0.0 
29/4/2021 21:00,13.9,3,11,0.0 
30/4/2021 00:00,12.0,357,12,0.0 
30/4/2021 03:00,11.9,10,15,0.0 
30/4/2021 06:00,10.8,17,13,0.0 
30/4/2021 09:00,12.6,18,14,0.0 
30/4/2021 12:00,19.6,19,24,0.0 
30/4/2021 15:00,22.2,33,28,0.0 
30/4/2021 18:00,19.1,34,24,0.0 
30/4/2021 21:00,14.5,8,12,0.0 
