fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,12.8,350,10,0.0 
4/4/2021 03:00,12.1,357,11,0.0 
4/4/2021 06:00,11.6,343,11,0.0 
4/4/2021 09:00,15.0,351,17,0.0 
4/4/2021 12:00,22.2,352,23,0.0 
4/4/2021 15:00,24.1,360,25,0.0 
4/4/2021 18:00,21.6,9,21,0.0 
4/4/2021 21:00,15.7,20,13,0.0 
5/4/2021 00:00,13.8,6,12,0.0 
5/4/2021 03:00,12.8,356,11,0.0 
5/4/2021 06:00,12.2,347,11,0.0 
5/4/2021 09:00,15.3,354,15,0.0 
5/4/2021 12:00,23.0,356,21,0.0 
5/4/2021 15:00,25.4,353,21,0.0 
5/4/2021 18:00,23.2,12,14,0.0 
5/4/2021 21:00,17.5,27,12,0.0 
6/4/2021 00:00,15.9,28,10,0.0 
6/4/2021 03:00,15.1,8,9,0.0 
6/4/2021 06:00,14.3,16,8,0.0 
6/4/2021 09:00,17.1,3,13,0.0 
6/4/2021 12:00,24.4,8,24,0.0 
6/4/2021 15:00,26.4,9,28,0.0 
6/4/2021 18:00,23.9,13,23,0.0 
6/4/2021 21:00,18.0,28,14,0.0 
7/4/2021 00:00,17.8,25,19,0.0 
7/4/2021 03:00,16.4,8,18,0.0 
7/4/2021 06:00,15.3,6,17,0.0 
7/4/2021 09:00,17.8,358,20,0.0 
7/4/2021 12:00,23.5,349,27,0.0 
7/4/2021 15:00,25.9,345,31,0.0 
7/4/2021 18:00,22.7,357,17,0.0 
7/4/2021 21:00,21.2,11,16,0.0 
8/4/2021 00:00,17.1,247,10,1.5 
8/4/2021 03:00,17.3,332,12,2.2 
8/4/2021 06:00,17.6,323,15,9.4 
8/4/2021 09:00,17.5,253,6,18.4 
8/4/2021 12:00,17.4,285,8,4.3 
8/4/2021 15:00,18.3,209,8,3.8 
8/4/2021 18:00,18.7,47,4,0.2 
8/4/2021 21:00,15.6,65,4,0.0 
