fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,13.2,31,10,0.0 
4/4/2021 03:00,12.4,29,10,0.0 
4/4/2021 06:00,11.6,23,9,0.0 
4/4/2021 09:00,14.8,9,12,0.0 
4/4/2021 12:00,21.9,9,20,0.0 
4/4/2021 15:00,23.8,10,24,0.0 
4/4/2021 18:00,21.3,27,19,0.0 
4/4/2021 21:00,15.9,47,13,0.0 
5/4/2021 00:00,14.1,39,13,0.0 
5/4/2021 03:00,13.4,27,10,0.0 
5/4/2021 06:00,12.6,41,9,0.0 
5/4/2021 09:00,15.7,24,13,0.0 
5/4/2021 12:00,22.6,10,19,0.0 
5/4/2021 15:00,25.0,5,20,0.0 
5/4/2021 18:00,23.0,33,13,0.0 
5/4/2021 21:00,17.6,64,13,0.0 
6/4/2021 00:00,16.1,64,11,0.0 
6/4/2021 03:00,15.3,64,10,0.0 
6/4/2021 06:00,14.2,63,8,0.0 
6/4/2021 09:00,17.1,36,14,0.0 
6/4/2021 12:00,24.0,21,23,0.0 
6/4/2021 15:00,26.1,18,27,0.0 
6/4/2021 18:00,23.8,29,20,0.0 
6/4/2021 21:00,18.8,48,18,0.0 
7/4/2021 00:00,18.8,26,22,0.0 
7/4/2021 03:00,16.6,29,17,0.0 
7/4/2021 06:00,15.2,30,15,0.0 
7/4/2021 09:00,18.0,18,18,0.0 
7/4/2021 12:00,24.3,358,25,0.0 
7/4/2021 15:00,25.7,355,27,0.0 
7/4/2021 18:00,22.3,30,16,0.1 
7/4/2021 21:00,21.8,24,22,0.0 
8/4/2021 00:00,18.3,308,10,1.6 
8/4/2021 03:00,17.6,335,9,5.2 
8/4/2021 06:00,17.7,325,8,2.1 
8/4/2021 09:00,17.4,358,6,13.8 
8/4/2021 12:00,17.8,302,7,12.5 
8/4/2021 15:00,19.6,297,7,3.8 
8/4/2021 18:00,18.5,82,7,2.2 
8/4/2021 21:00,15.8,151,5,0.0 
