fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,12.2,180,8,0.0 
26/4/2021 03:00,10.3,182,8,0.0 
26/4/2021 06:00,9.3,181,7,0.0 
26/4/2021 09:00,12.3,159,7,0.0 
26/4/2021 12:00,17.9,155,8,0.0 
26/4/2021 15:00,19.7,158,9,0.0 
26/4/2021 18:00,16.6,139,7,0.0 
26/4/2021 21:00,13.1,151,6,0.0 
27/4/2021 00:00,12.1,172,6,0.0 
27/4/2021 03:00,11.4,176,6,0.0 
27/4/2021 06:00,10.7,160,7,0.0 
27/4/2021 09:00,13.9,139,7,0.0 
27/4/2021 12:00,19.7,121,8,0.0 
27/4/2021 15:00,21.4,138,9,0.0 
27/4/2021 18:00,17.9,138,6,0.0 
27/4/2021 21:00,14.1,127,7,0.0 
28/4/2021 00:00,12.7,133,8,0.0 
28/4/2021 03:00,11.6,134,7,0.0 
28/4/2021 06:00,10.6,147,7,0.0 
28/4/2021 09:00,13.9,136,8,0.0 
28/4/2021 12:00,20.0,114,8,0.0 
28/4/2021 15:00,21.8,138,11,0.0 
28/4/2021 18:00,18.0,133,8,0.0 
28/4/2021 21:00,14.3,154,8,0.0 
29/4/2021 00:00,12.7,141,7,0.0 
29/4/2021 03:00,11.2,136,7,0.0 
29/4/2021 06:00,10.3,133,8,0.0 
29/4/2021 09:00,13.1,123,10,0.0 
29/4/2021 12:00,19.8,116,10,0.0 
29/4/2021 15:00,21.9,123,10,0.0 
29/4/2021 18:00,17.7,138,8,0.0 
29/4/2021 21:00,13.9,114,7,0.0 
30/4/2021 00:00,12.5,110,6,0.0 
30/4/2021 03:00,12.0,103,6,0.0 
30/4/2021 06:00,11.2,101,5,0.0 
30/4/2021 09:00,15.0,66,5,0.0 
30/4/2021 12:00,22.3,38,9,0.0 
30/4/2021 15:00,25.4,39,11,0.0 
30/4/2021 18:00,21.0,63,9,0.0 
30/4/2021 21:00,17.8,62,8,0.0 
