fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,9.9,235,12,0.0 
25/4/2021 03:00,9.2,232,15,0.0 
25/4/2021 06:00,8.3,229,13,0.0 
25/4/2021 09:00,12.8,208,15,0.0 
25/4/2021 12:00,16.3,165,22,0.2 
25/4/2021 15:00,18.2,171,22,0.0 
25/4/2021 18:00,13.9,160,14,0.0 
25/4/2021 21:00,14.1,183,11,0.0 
26/4/2021 00:00,14.0,182,12,0.0 
26/4/2021 03:00,10.4,210,11,0.0 
26/4/2021 06:00,8.5,206,11,0.0 
26/4/2021 09:00,11.3,210,10,0.0 
26/4/2021 12:00,16.1,200,12,0.0 
26/4/2021 15:00,17.3,214,11,0.0 
26/4/2021 18:00,13.4,226,9,0.0 
26/4/2021 21:00,9.9,136,6,0.0 
27/4/2021 00:00,9.0,56,2,0.0 
27/4/2021 03:00,8.4,287,3,0.0 
27/4/2021 06:00,8.2,255,4,0.0 
27/4/2021 09:00,11.0,298,5,0.0 
27/4/2021 12:00,16.7,279,9,0.0 
27/4/2021 15:00,18.6,283,10,0.0 
27/4/2021 18:00,14.3,319,7,0.0 
27/4/2021 21:00,11.3,337,8,0.0 
28/4/2021 00:00,10.5,322,10,0.0 
28/4/2021 03:00,9.8,314,11,0.0 
28/4/2021 06:00,9.2,303,11,0.0 
28/4/2021 09:00,12.0,303,12,0.0 
28/4/2021 12:00,18.4,285,15,0.0 
28/4/2021 15:00,20.6,294,17,0.0 
28/4/2021 18:00,15.8,307,12,0.0 
28/4/2021 21:00,12.7,304,9,0.0 
29/4/2021 00:00,11.6,305,10,0.0 
29/4/2021 03:00,10.7,308,10,0.0 
29/4/2021 06:00,9.9,308,11,0.0 
29/4/2021 09:00,12.5,316,11,0.0 
29/4/2021 12:00,19.3,320,13,0.0 
29/4/2021 15:00,21.6,329,13,0.0 
29/4/2021 18:00,15.3,26,13,0.0 
29/4/2021 21:00,12.9,6,12,0.0 
