fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,9.4,319,10,0.0 
13/4/2021 03:00,10.8,308,9,0.0 
13/4/2021 06:00,8.9,303,9,0.0 
13/4/2021 09:00,7.7,314,7,0.0 
13/4/2021 12:00,12.5,322,5,0.0 
13/4/2021 15:00,17.7,314,5,0.0 
13/4/2021 18:00,19.5,313,8,0.0 
13/4/2021 21:00,13.2,291,9,0.0 
14/4/2021 00:00,9.8,298,9,0.0 
14/4/2021 03:00,7.9,309,9,0.0 
14/4/2021 06:00,6.4,307,9,0.0 
14/4/2021 09:00,6.1,319,9,0.0 
14/4/2021 12:00,12.4,312,10,0.0 
14/4/2021 15:00,15.5,292,17,0.0 
14/4/2021 18:00,11.1,293,14,0.0 
14/4/2021 21:00,8.7,307,9,0.0 
15/4/2021 00:00,8.6,282,8,0.0 
15/4/2021 03:00,7.5,238,9,0.0 
15/4/2021 06:00,6.7,253,9,0.0 
15/4/2021 09:00,5.5,250,8,0.0 
15/4/2021 12:00,9.6,284,9,0.0 
15/4/2021 15:00,13.9,286,11,0.0 
15/4/2021 18:00,14.6,283,15,0.0 
15/4/2021 21:00,7.8,248,11,0.0 
16/4/2021 00:00,4.7,272,8,0.0 
16/4/2021 03:00,3.0,281,8,0.0 
16/4/2021 06:00,1.8,288,8,0.0 
16/4/2021 09:00,2.2,298,7,0.0 
16/4/2021 12:00,7.1,313,5,0.0 
16/4/2021 15:00,12.2,355,2,0.0 
16/4/2021 18:00,13.3,53,2,0.0 
16/4/2021 21:00,8.5,279,3,0.0 
17/4/2021 00:00,7.2,247,7,0.0 
17/4/2021 03:00,5.0,300,4,0.0 
17/4/2021 06:00,3.7,304,5,0.0 
17/4/2021 09:00,4.3,306,6,0.0 
17/4/2021 12:00,10.9,318,3,0.0 
17/4/2021 15:00,16.2,290,6,0.0 
17/4/2021 18:00,17.6,275,8,0.0 
17/4/2021 21:00,10.7,304,12,0.0 
