fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,5.4,86,16,0.0 
4/4/2021 03:00,2.3,342,5,0.7 
4/4/2021 06:00,0.5,89,5,4.6 
4/4/2021 09:00,0.8,118,5,1.5 
4/4/2021 12:00,1.8,254,3,0.1 
4/4/2021 15:00,3.7,266,9,0.0 
4/4/2021 18:00,4.5,279,7,0.0 
4/4/2021 21:00,3.9,287,4,0.0 
5/4/2021 00:00,3.5,301,5,0.0 
5/4/2021 03:00,2.8,286,3,0.0 
5/4/2021 06:00,2.8,113,6,0.0 
5/4/2021 09:00,2.9,97,7,0.0 
5/4/2021 12:00,5.4,55,6,0.0 
5/4/2021 15:00,7.3,3,10,0.0 
5/4/2021 18:00,8.0,82,6,0.0 
5/4/2021 21:00,6.8,160,9,0.0 
6/4/2021 00:00,7.6,221,4,0.0 
6/4/2021 03:00,7.3,278,9,0.0 
6/4/2021 06:00,6.8,273,9,0.0 
6/4/2021 09:00,6.4,253,8,0.0 
6/4/2021 12:00,7.5,252,9,0.0 
6/4/2021 15:00,9.1,242,6,0.0 
6/4/2021 18:00,9.3,251,6,0.0 
6/4/2021 21:00,8.5,273,12,0.0 
7/4/2021 00:00,7.8,272,14,0.0 
7/4/2021 03:00,7.2,269,10,0.0 
7/4/2021 06:00,6.6,301,7,0.0 
7/4/2021 09:00,6.5,314,6,0.0 
7/4/2021 12:00,8.8,286,13,0.0 
7/4/2021 15:00,8.7,265,22,0.0 
7/4/2021 18:00,9.2,265,17,0.0 
7/4/2021 21:00,7.5,259,17,0.0 
8/4/2021 00:00,5.8,263,13,0.0 
8/4/2021 03:00,5.5,271,12,0.0 
8/4/2021 06:00,4.5,271,11,0.0 
8/4/2021 09:00,4.4,267,13,0.0 
8/4/2021 12:00,7.4,275,15,0.0 
8/4/2021 15:00,8.6,268,15,0.0 
8/4/2021 18:00,9.2,270,19,0.0 
8/4/2021 21:00,7.0,262,21,0.0 
