fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,17.4,323,16,0.0 
13/4/2021 03:00,16.7,316,15,0.0 
13/4/2021 06:00,15.9,303,9,0.0 
13/4/2021 09:00,15.7,327,10,0.0 
13/4/2021 12:00,17.1,348,6,0.0 
13/4/2021 15:00,19.2,54,4,0.0 
13/4/2021 18:00,20.1,79,7,0.0 
13/4/2021 21:00,19.1,61,13,0.0 
14/4/2021 00:00,17.5,46,16,0.0 
14/4/2021 03:00,16.6,37,17,0.0 
14/4/2021 06:00,15.8,42,18,0.0 
14/4/2021 09:00,15.6,34,22,0.0 
14/4/2021 12:00,18.4,28,18,0.0 
14/4/2021 15:00,20.4,23,13,0.0 
14/4/2021 18:00,20.7,54,14,0.0 
14/4/2021 21:00,18.9,57,21,0.0 
15/4/2021 00:00,18.5,54,17,0.0 
15/4/2021 03:00,17.9,38,14,0.0 
15/4/2021 06:00,18.3,32,9,0.0 
15/4/2021 09:00,17.9,61,4,0.0 
15/4/2021 12:00,18.7,124,10,0.0 
15/4/2021 15:00,19.6,164,8,0.0 
15/4/2021 18:00,20.3,153,12,0.0 
15/4/2021 21:00,19.9,118,15,0.0 
16/4/2021 00:00,19.7,95,14,0.0 
16/4/2021 03:00,19.2,81,9,0.0 
16/4/2021 06:00,19.4,137,9,0.0 
16/4/2021 09:00,19.3,119,12,0.0 
16/4/2021 12:00,19.7,151,12,0.0 
16/4/2021 15:00,19.9,158,17,0.0 
16/4/2021 18:00,20.4,126,20,0.0 
16/4/2021 21:00,19.7,101,21,0.0 
17/4/2021 00:00,19.1,99,19,0.0 
17/4/2021 03:00,18.6,98,18,0.0 
17/4/2021 06:00,18.0,83,19,0.0 
17/4/2021 09:00,18.0,102,20,0.0 
17/4/2021 12:00,19.5,96,16,0.0 
17/4/2021 15:00,20.6,137,16,0.0 
17/4/2021 18:00,20.6,111,25,0.0 
17/4/2021 21:00,19.4,80,20,0.0 
