fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,10.6,14,8,0.0 
26/4/2021 03:00,9.8,5,8,0.0 
26/4/2021 06:00,9.3,13,7,0.0 
26/4/2021 09:00,11.2,28,6,0.0 
26/4/2021 12:00,16.9,51,11,0.0 
26/4/2021 15:00,19.4,54,15,0.0 
26/4/2021 18:00,17.0,43,15,0.0 
26/4/2021 21:00,11.9,3,10,0.0 
27/4/2021 00:00,11.4,350,7,0.0 
27/4/2021 03:00,10.9,335,5,0.0 
27/4/2021 06:00,10.4,320,4,0.0 
27/4/2021 09:00,12.7,337,4,0.0 
27/4/2021 12:00,19.0,46,11,0.0 
27/4/2021 15:00,21.2,52,18,0.0 
27/4/2021 18:00,17.6,46,16,0.0 
27/4/2021 21:00,12.6,1,11,0.0 
28/4/2021 00:00,12.5,344,8,0.0 
28/4/2021 03:00,11.6,320,8,0.0 
28/4/2021 06:00,11.0,309,5,0.0 
28/4/2021 09:00,13.4,311,4,0.0 
28/4/2021 12:00,19.8,53,9,0.0 
28/4/2021 15:00,22.6,64,14,0.0 
28/4/2021 18:00,18.9,44,16,0.0 
28/4/2021 21:00,13.8,354,12,0.0 
29/4/2021 00:00,13.2,346,10,0.0 
29/4/2021 03:00,12.2,332,7,0.0 
29/4/2021 06:00,11.4,347,8,0.0 
29/4/2021 09:00,13.4,345,6,0.0 
29/4/2021 12:00,20.1,39,18,0.0 
29/4/2021 15:00,21.0,44,26,0.0 
29/4/2021 18:00,17.7,36,21,0.0 
29/4/2021 21:00,13.0,355,15,0.0 
30/4/2021 00:00,12.0,351,15,0.0 
30/4/2021 03:00,11.1,353,14,0.0 
30/4/2021 06:00,10.8,7,13,0.0 
30/4/2021 09:00,12.9,11,10,0.0 
30/4/2021 12:00,19.7,30,24,0.0 
30/4/2021 15:00,21.4,42,28,0.0 
30/4/2021 18:00,17.8,35,24,0.0 
30/4/2021 21:00,13.7,354,15,0.0 
