fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,11.5,301,8,0.0 
4/4/2021 03:00,9.6,304,9,0.0 
4/4/2021 06:00,8.1,295,10,0.0 
4/4/2021 09:00,8.2,298,9,0.0 
4/4/2021 12:00,13.9,318,9,0.0 
4/4/2021 15:00,17.7,307,10,0.0 
4/4/2021 18:00,17.9,327,7,0.0 
4/4/2021 21:00,13.6,285,10,0.0 
5/4/2021 00:00,11.9,294,10,0.0 
5/4/2021 03:00,10.6,296,8,0.0 
5/4/2021 06:00,10.0,301,5,0.0 
5/4/2021 09:00,10.3,332,2,0.0 
5/4/2021 12:00,12.4,52,4,0.0 
5/4/2021 15:00,14.7,40,10,0.0 
5/4/2021 18:00,16.0,23,4,0.0 
5/4/2021 21:00,13.4,17,4,0.0 
6/4/2021 00:00,12.3,301,10,0.0 
6/4/2021 03:00,11.1,303,9,0.0 
6/4/2021 06:00,10.1,302,10,0.0 
6/4/2021 09:00,8.8,296,12,0.0 
6/4/2021 12:00,11.5,324,13,0.0 
6/4/2021 15:00,11.8,307,16,0.0 
6/4/2021 18:00,9.5,315,9,0.2 
6/4/2021 21:00,7.5,327,9,0.0 
7/4/2021 00:00,5.8,303,9,0.0 
7/4/2021 03:00,4.4,306,10,0.0 
7/4/2021 06:00,3.7,306,10,0.0 
7/4/2021 09:00,3.5,333,11,0.0 
7/4/2021 12:00,8.5,326,13,0.0 
7/4/2021 15:00,11.4,322,17,0.0 
7/4/2021 18:00,8.9,312,17,0.0 
7/4/2021 21:00,6.5,321,10,0.6 
8/4/2021 00:00,6.0,321,7,0.2 
8/4/2021 03:00,6.1,315,7,0.0 
8/4/2021 06:00,5.4,311,9,0.1 
8/4/2021 09:00,4.6,311,8,0.0 
8/4/2021 12:00,8.4,311,11,0.0 
8/4/2021 15:00,7.6,254,17,0.3 
8/4/2021 18:00,8.4,284,20,0.0 
8/4/2021 21:00,5.9,297,9,0.0 
