fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,15.9,172,6,0.0 
25/4/2021 03:00,16.6,203,7,0.0 
25/4/2021 06:00,15.5,180,7,0.0 
25/4/2021 09:00,17.4,185,12,0.0 
25/4/2021 12:00,21.7,183,14,0.0 
25/4/2021 15:00,20.6,194,8,0.0 
25/4/2021 18:00,19.1,143,10,0.0 
25/4/2021 21:00,15.0,163,7,0.0 
26/4/2021 00:00,13.5,179,8,0.0 
26/4/2021 03:00,11.7,187,8,0.0 
26/4/2021 06:00,10.3,184,8,0.0 
26/4/2021 09:00,13.1,157,10,0.0 
26/4/2021 12:00,18.7,155,9,0.0 
26/4/2021 15:00,20.4,170,9,0.0 
26/4/2021 18:00,16.5,175,7,0.0 
26/4/2021 21:00,12.5,172,9,0.0 
27/4/2021 00:00,10.9,177,7,0.0 
27/4/2021 03:00,10.0,182,6,0.0 
27/4/2021 06:00,9.1,175,7,0.0 
27/4/2021 09:00,13.2,157,7,0.0 
27/4/2021 12:00,19.0,152,9,0.0 
27/4/2021 15:00,20.9,155,11,0.0 
27/4/2021 18:00,17.3,170,6,0.0 
27/4/2021 21:00,13.4,163,9,0.0 
28/4/2021 00:00,12.1,155,8,0.0 
28/4/2021 03:00,10.8,157,7,0.0 
28/4/2021 06:00,10.0,159,8,0.0 
28/4/2021 09:00,13.9,148,9,0.0 
28/4/2021 12:00,20.1,154,12,0.0 
28/4/2021 15:00,21.9,156,12,0.0 
28/4/2021 18:00,17.4,177,9,0.0 
28/4/2021 21:00,13.4,163,10,0.0 
29/4/2021 00:00,11.7,153,9,0.0 
29/4/2021 03:00,10.8,152,9,0.0 
29/4/2021 06:00,9.7,170,8,0.0 
29/4/2021 09:00,13.5,156,7,0.0 
29/4/2021 12:00,20.5,154,9,0.0 
29/4/2021 15:00,22.6,145,9,0.0 
29/4/2021 18:00,18.3,175,5,0.0 
29/4/2021 21:00,14.8,184,8,0.0 
