fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,9.4,46,10,0.0 
26/4/2021 03:00,8.2,19,10,0.0 
26/4/2021 06:00,7.4,25,10,0.0 
26/4/2021 09:00,9.0,31,10,0.0 
26/4/2021 12:00,15.6,17,15,0.0 
26/4/2021 15:00,18.6,16,14,0.0 
26/4/2021 18:00,16.6,46,10,0.0 
26/4/2021 21:00,12.8,43,12,0.0 
27/4/2021 00:00,11.3,21,13,0.0 
27/4/2021 03:00,10.5,12,12,0.0 
27/4/2021 06:00,9.8,9,12,0.0 
27/4/2021 09:00,10.9,14,12,0.0 
27/4/2021 12:00,18.0,9,17,0.0 
27/4/2021 15:00,21.2,8,17,0.0 
27/4/2021 18:00,18.3,37,13,0.0 
27/4/2021 21:00,14.0,33,15,0.0 
28/4/2021 00:00,12.4,11,14,0.0 
28/4/2021 03:00,11.4,7,13,0.0 
28/4/2021 06:00,10.6,7,12,0.0 
28/4/2021 09:00,11.8,357,11,0.0 
28/4/2021 12:00,19.0,2,12,0.0 
28/4/2021 15:00,22.1,5,12,0.0 
28/4/2021 18:00,19.4,35,10,0.0 
28/4/2021 21:00,15.0,34,14,0.0 
29/4/2021 00:00,13.3,11,14,0.0 
29/4/2021 03:00,12.0,12,13,0.0 
29/4/2021 06:00,10.9,19,14,0.0 
29/4/2021 09:00,12.1,16,19,0.0 
29/4/2021 12:00,19.0,5,26,0.0 
29/4/2021 15:00,22.0,8,27,0.0 
29/4/2021 18:00,18.6,27,18,0.0 
29/4/2021 21:00,15.4,27,22,0.0 
30/4/2021 00:00,13.8,20,22,0.0 
30/4/2021 03:00,12.3,23,21,0.0 
30/4/2021 06:00,11.4,20,21,0.0 
30/4/2021 09:00,11.7,17,22,0.0 
30/4/2021 12:00,18.0,11,29,0.0 
30/4/2021 15:00,20.9,13,27,0.0 
30/4/2021 18:00,18.2,36,18,0.0 
30/4/2021 21:00,15.1,33,21,0.0 
