fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.6,312,50,0.0 
26/4/2021 03:00,10.4,327,34,0.0 
26/4/2021 06:00,10.3,325,33,0.0 
26/4/2021 09:00,9.6,332,30,0.0 
26/4/2021 12:00,11.8,324,29,0.0 
26/4/2021 15:00,14.8,334,40,0.0 
26/4/2021 18:00,14.2,339,35,0.0 
26/4/2021 21:00,12.7,341,33,0.0 
27/4/2021 00:00,11.8,344,37,0.0 
27/4/2021 03:00,9.8,355,25,0.0 
27/4/2021 06:00,9.8,358,21,0.0 
27/4/2021 09:00,9.9,351,15,0.0 
27/4/2021 12:00,15.2,329,33,0.0 
27/4/2021 15:00,17.0,282,46,0.0 
27/4/2021 18:00,11.8,295,53,0.0 
27/4/2021 21:00,9.4,299,51,0.0 
28/4/2021 00:00,8.9,283,31,0.0 
28/4/2021 03:00,8.5,289,36,0.0 
28/4/2021 06:00,7.8,276,26,0.0 
28/4/2021 09:00,7.0,291,16,0.0 
28/4/2021 12:00,11.2,295,24,0.0 
28/4/2021 15:00,12.2,282,29,0.0 
28/4/2021 18:00,10.8,313,17,0.0 
28/4/2021 21:00,7.7,354,5,0.0 
29/4/2021 00:00,8.3,360,8,0.0 
29/4/2021 03:00,7.0,155,4,0.4 
29/4/2021 06:00,6.7,122,5,0.0 
29/4/2021 09:00,6.9,48,14,0.2 
29/4/2021 12:00,8.7,349,10,0.0 
29/4/2021 15:00,9.8,313,7,0.0 
29/4/2021 18:00,9.7,223,0,0.0 
29/4/2021 21:00,9.6,334,12,0.0 
30/4/2021 00:00,9.6,334,20,0.0 
30/4/2021 03:00,9.6,325,29,0.0 
30/4/2021 06:00,7.3,313,10,0.0 
30/4/2021 09:00,5.4,299,1,0.0 
30/4/2021 12:00,9.2,199,6,0.0 
30/4/2021 15:00,8.7,145,12,0.0 
30/4/2021 18:00,7.1,115,13,0.0 
30/4/2021 21:00,5.6,87,23,0.6 
