fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.7,90,12,0.0 
4/4/2021 03:00,15.5,64,11,0.0 
4/4/2021 06:00,15.0,69,12,0.0 
4/4/2021 09:00,17.8,61,17,0.0 
4/4/2021 12:00,23.7,45,16,0.0 
4/4/2021 15:00,25.8,48,9,0.0 
4/4/2021 18:00,23.1,119,8,0.0 
4/4/2021 21:00,19.1,83,7,0.0 
5/4/2021 00:00,17.9,103,10,0.0 
5/4/2021 03:00,17.0,100,10,0.0 
5/4/2021 06:00,16.8,83,12,0.0 
5/4/2021 09:00,20.0,62,16,0.0 
5/4/2021 12:00,25.6,45,13,0.0 
5/4/2021 15:00,28.0,92,9,0.0 
5/4/2021 18:00,24.3,101,8,0.0 
5/4/2021 21:00,22.2,83,12,0.0 
6/4/2021 00:00,20.2,98,13,0.0 
6/4/2021 03:00,17.9,86,13,0.0 
6/4/2021 06:00,17.1,90,12,0.0 
6/4/2021 09:00,20.2,62,16,0.0 
6/4/2021 12:00,23.7,43,15,0.0 
6/4/2021 15:00,27.9,41,8,0.0 
6/4/2021 18:00,24.6,238,2,0.0 
6/4/2021 21:00,23.0,76,11,0.0 
7/4/2021 00:00,19.4,73,13,0.0 
7/4/2021 03:00,21.9,59,17,0.0 
7/4/2021 06:00,18.2,63,16,0.0 
7/4/2021 09:00,19.4,50,16,0.0 
7/4/2021 12:00,25.9,21,18,0.0 
7/4/2021 15:00,27.7,14,16,0.0 
7/4/2021 18:00,24.6,47,9,0.0 
7/4/2021 21:00,22.9,63,12,0.0 
8/4/2021 00:00,21.8,47,13,0.0 
8/4/2021 03:00,19.7,10,13,0.0 
8/4/2021 06:00,18.1,27,12,0.0 
8/4/2021 09:00,20.2,18,17,0.0 
8/4/2021 12:00,26.2,359,21,0.0 
8/4/2021 15:00,28.2,336,22,0.0 
8/4/2021 18:00,25.2,280,11,0.0 
8/4/2021 21:00,23.3,19,10,0.0 
