fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,17.6,164,5,0.0 
13/4/2021 03:00,16.2,144,5,0.0 
13/4/2021 06:00,15.5,146,5,0.0 
13/4/2021 09:00,22.3,159,5,0.0 
13/4/2021 12:00,29.0,250,9,0.0 
13/4/2021 15:00,30.1,266,10,0.0 
13/4/2021 18:00,25.9,271,5,0.0 
13/4/2021 21:00,20.9,136,5,0.0 
14/4/2021 00:00,19.4,124,5,0.0 
14/4/2021 03:00,18.7,40,5,0.0 
14/4/2021 06:00,18.2,57,5,0.0 
14/4/2021 09:00,22.8,2,8,0.4 
14/4/2021 12:00,29.0,315,8,0.0 
14/4/2021 15:00,29.2,112,6,0.3 
14/4/2021 18:00,24.5,86,7,0.2 
14/4/2021 21:00,21.0,85,4,0.0 
15/4/2021 00:00,20.4,93,5,0.0 
15/4/2021 03:00,19.7,99,6,0.0 
15/4/2021 06:00,18.6,100,4,0.0 
15/4/2021 09:00,19.7,23,9,1.1 
15/4/2021 12:00,28.6,358,11,0.2 
15/4/2021 15:00,28.7,274,19,0.4 
15/4/2021 18:00,21.4,57,2,1.5 
15/4/2021 21:00,18.8,102,6,0.0 
16/4/2021 00:00,18.6,102,6,0.0 
16/4/2021 03:00,18.2,117,5,0.0 
16/4/2021 06:00,17.6,92,3,0.0 
16/4/2021 09:00,22.8,18,5,0.0 
16/4/2021 12:00,25.8,316,11,0.3 
16/4/2021 15:00,21.9,282,6,0.2 
16/4/2021 18:00,22.5,148,10,0.0 
16/4/2021 21:00,17.9,106,6,0.0 
17/4/2021 00:00,17.8,116,6,0.0 
17/4/2021 03:00,16.7,129,7,0.0 
17/4/2021 06:00,15.4,94,5,0.0 
17/4/2021 09:00,22.1,101,2,0.0 
17/4/2021 12:00,28.9,281,9,0.0 
17/4/2021 15:00,29.5,274,10,0.0 
17/4/2021 18:00,22.6,246,3,0.3 
17/4/2021 21:00,19.2,166,7,0.3 
