fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.7,183,10,0.0 
26/4/2021 03:00,10.0,175,10,0.0 
26/4/2021 06:00,9.1,171,10,0.0 
26/4/2021 09:00,12.8,159,10,0.0 
26/4/2021 12:00,18.3,157,10,0.0 
26/4/2021 15:00,19.7,168,10,0.0 
26/4/2021 18:00,15.6,198,9,0.0 
26/4/2021 21:00,13.1,169,7,0.0 
27/4/2021 00:00,12.1,168,9,0.0 
27/4/2021 03:00,10.8,144,8,0.0 
27/4/2021 06:00,9.7,150,9,0.0 
27/4/2021 09:00,13.5,133,10,0.0 
27/4/2021 12:00,19.2,139,10,0.0 
27/4/2021 15:00,20.6,160,12,0.0 
27/4/2021 18:00,16.3,185,9,0.0 
27/4/2021 21:00,13.0,141,9,0.0 
28/4/2021 00:00,11.4,145,9,0.0 
28/4/2021 03:00,10.1,137,9,0.0 
28/4/2021 06:00,9.3,142,10,0.0 
28/4/2021 09:00,13.2,138,12,0.0 
28/4/2021 12:00,19.2,146,12,0.0 
28/4/2021 15:00,20.8,159,15,0.0 
28/4/2021 18:00,16.3,169,10,0.0 
28/4/2021 21:00,12.9,146,12,0.0 
29/4/2021 00:00,11.1,129,12,0.0 
29/4/2021 03:00,9.8,136,11,0.0 
29/4/2021 06:00,8.6,136,11,0.0 
29/4/2021 09:00,12.6,127,13,0.0 
29/4/2021 12:00,20.0,124,12,0.0 
29/4/2021 15:00,22.7,133,11,0.0 
29/4/2021 18:00,17.7,163,9,0.0 
29/4/2021 21:00,14.5,140,11,0.0 
30/4/2021 00:00,13.4,124,10,0.0 
30/4/2021 03:00,12.5,90,8,0.0 
30/4/2021 06:00,12.1,76,9,0.0 
30/4/2021 09:00,16.0,44,14,0.0 
30/4/2021 12:00,23.2,16,16,0.0 
30/4/2021 15:00,26.2,18,13,0.0 
30/4/2021 18:00,21.0,83,8,0.0 
30/4/2021 21:00,17.7,79,10,0.0 
