fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.5,248,5,0.6 
25/4/2021 03:00,12.2,255,5,0.7 
25/4/2021 06:00,12.0,264,4,0.4 
25/4/2021 09:00,13.3,258,3,0.0 
25/4/2021 12:00,17.2,94,7,0.6 
25/4/2021 15:00,18.0,58,5,1.6 
25/4/2021 18:00,15.0,30,3,1.7 
25/4/2021 21:00,12.9,298,5,0.5 
26/4/2021 00:00,12.7,286,4,0.0 
26/4/2021 03:00,11.5,282,4,0.0 
26/4/2021 06:00,9.5,273,6,0.0 
26/4/2021 09:00,11.9,308,1,0.0 
26/4/2021 12:00,17.3,85,9,0.0 
26/4/2021 15:00,19.2,84,10,0.0 
26/4/2021 18:00,17.1,75,7,0.0 
26/4/2021 21:00,12.9,277,4,0.0 
27/4/2021 00:00,13.2,261,4,0.0 
27/4/2021 03:00,13.3,305,4,0.0 
27/4/2021 06:00,10.6,274,5,0.0 
27/4/2021 09:00,13.7,349,1,0.0 
27/4/2021 12:00,18.2,85,9,0.0 
27/4/2021 15:00,20.3,86,9,0.0 
27/4/2021 18:00,17.7,74,7,0.0 
27/4/2021 21:00,14.6,279,3,0.0 
28/4/2021 00:00,14.5,298,1,0.0 
28/4/2021 03:00,13.4,277,2,0.0 
28/4/2021 06:00,11.9,256,3,0.0 
28/4/2021 09:00,14.2,59,1,0.0 
28/4/2021 12:00,18.8,91,8,0.0 
28/4/2021 15:00,20.6,88,6,0.0 
28/4/2021 18:00,17.9,40,4,0.0 
28/4/2021 21:00,14.9,308,3,0.2 
29/4/2021 00:00,14.1,288,4,0.0 
29/4/2021 03:00,12.0,272,5,0.0 
29/4/2021 06:00,10.4,273,5,0.0 
29/4/2021 09:00,13.5,296,1,0.0 
29/4/2021 12:00,19.2,82,8,0.0 
29/4/2021 15:00,20.9,79,9,0.0 
29/4/2021 18:00,18.2,67,7,0.0 
29/4/2021 21:00,12.6,274,6,0.0 
