fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,15.9,253,2,0.2 
4/4/2021 03:00,15.6,266,2,0.5 
4/4/2021 06:00,15.4,270,0,0.0 
4/4/2021 09:00,15.6,82,1,0.0 
4/4/2021 12:00,16.3,84,4,0.2 
4/4/2021 15:00,16.1,89,4,0.3 
4/4/2021 18:00,16.6,29,4,0.1 
4/4/2021 21:00,15.3,256,2,0.0 
5/4/2021 00:00,15.0,228,4,0.0 
5/4/2021 03:00,14.7,264,5,0.0 
5/4/2021 06:00,13.8,260,4,0.0 
5/4/2021 09:00,16.4,256,3,0.0 
5/4/2021 12:00,22.8,89,8,0.0 
5/4/2021 15:00,25.5,93,10,0.0 
5/4/2021 18:00,23.6,76,7,0.0 
5/4/2021 21:00,17.6,279,5,0.0 
6/4/2021 00:00,18.1,269,4,0.0 
6/4/2021 03:00,17.7,252,5,0.1 
6/4/2021 06:00,15.9,276,6,0.0 
6/4/2021 09:00,18.4,358,2,0.0 
6/4/2021 12:00,23.8,83,8,0.0 
6/4/2021 15:00,26.5,85,8,0.2 
6/4/2021 18:00,20.6,56,7,1.5 
6/4/2021 21:00,16.9,314,1,0.6 
7/4/2021 00:00,16.1,289,2,0.0 
7/4/2021 03:00,15.9,288,1,0.2 
7/4/2021 06:00,16.9,79,1,0.2 
7/4/2021 09:00,17.4,66,3,0.4 
7/4/2021 12:00,19.6,91,6,0.8 
7/4/2021 15:00,21.8,73,9,0.8 
7/4/2021 18:00,19.6,70,6,0.4 
7/4/2021 21:00,18.0,73,2,0.3 
8/4/2021 00:00,17.5,98,3,0.5 
8/4/2021 03:00,17.3,111,2,0.2 
8/4/2021 06:00,17.1,80,3,1.0 
8/4/2021 09:00,17.1,77,3,0.3 
8/4/2021 12:00,17.6,94,4,0.3 
8/4/2021 15:00,18.7,166,1,0.2 
8/4/2021 18:00,19.2,155,1,0.3 
8/4/2021 21:00,18.2,233,3,0.3 
