fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,12.2,332,10,0.0 
13/4/2021 03:00,11.2,334,10,0.0 
13/4/2021 06:00,10.3,330,8,0.0 
13/4/2021 09:00,13.4,346,7,0.0 
13/4/2021 12:00,20.2,359,11,0.0 
13/4/2021 15:00,22.4,13,12,0.0 
13/4/2021 18:00,19.0,26,11,0.0 
13/4/2021 21:00,14.1,42,9,0.0 
14/4/2021 00:00,12.2,27,11,0.0 
14/4/2021 03:00,11.1,19,11,0.0 
14/4/2021 06:00,10.3,38,11,0.0 
14/4/2021 09:00,13.2,39,14,0.0 
14/4/2021 12:00,20.3,24,18,0.0 
14/4/2021 15:00,22.5,15,18,0.0 
14/4/2021 18:00,19.7,24,11,0.0 
14/4/2021 21:00,15.2,47,9,0.0 
15/4/2021 00:00,13.9,25,10,0.0 
15/4/2021 03:00,13.4,2,7,0.0 
15/4/2021 06:00,13.1,15,6,0.0 
15/4/2021 09:00,15.9,126,3,0.0 
15/4/2021 12:00,22.4,72,5,0.0 
15/4/2021 15:00,24.8,22,8,0.0 
15/4/2021 18:00,22.1,32,8,0.0 
15/4/2021 21:00,16.9,29,8,0.0 
16/4/2021 00:00,15.7,35,3,0.0 
16/4/2021 03:00,14.8,65,6,0.0 
16/4/2021 06:00,13.8,70,5,0.0 
16/4/2021 09:00,17.0,125,4,0.0 
16/4/2021 12:00,23.0,77,8,0.0 
16/4/2021 15:00,25.4,74,7,0.0 
16/4/2021 18:00,22.8,79,9,0.0 
16/4/2021 21:00,17.5,77,11,0.0 
17/4/2021 00:00,15.6,76,11,0.0 
17/4/2021 03:00,14.7,80,9,0.0 
17/4/2021 06:00,14.0,73,9,0.0 
17/4/2021 09:00,16.5,78,11,0.0 
17/4/2021 12:00,23.1,56,13,0.0 
17/4/2021 15:00,25.3,50,12,0.0 
17/4/2021 18:00,22.5,47,13,0.0 
17/4/2021 21:00,20.5,76,13,0.0 
