fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,17.5,29,16,0.0 
4/4/2021 03:00,15.8,19,15,0.0 
4/4/2021 06:00,14.6,29,13,0.0 
4/4/2021 09:00,18.0,20,20,0.0 
4/4/2021 12:00,25.6,26,24,0.0 
4/4/2021 15:00,28.4,25,23,0.0 
4/4/2021 18:00,26.8,24,22,0.0 
4/4/2021 21:00,21.5,47,19,0.0 
5/4/2021 00:00,18.9,29,18,0.0 
5/4/2021 03:00,17.2,28,16,0.0 
5/4/2021 06:00,15.5,44,12,0.0 
5/4/2021 09:00,19.2,33,20,0.0 
5/4/2021 12:00,27.0,26,25,0.0 
5/4/2021 15:00,30.2,29,21,0.0 
5/4/2021 18:00,28.8,30,23,0.0 
5/4/2021 21:00,24.7,41,23,0.0 
6/4/2021 00:00,19.1,29,13,0.0 
6/4/2021 03:00,17.7,38,14,0.0 
6/4/2021 06:00,16.4,39,13,0.0 
6/4/2021 09:00,19.6,31,20,0.0 
6/4/2021 12:00,27.6,28,29,0.0 
6/4/2021 15:00,30.4,28,31,0.0 
6/4/2021 18:00,28.9,31,28,0.0 
6/4/2021 21:00,24.9,19,23,0.0 
7/4/2021 00:00,20.0,16,15,0.0 
7/4/2021 03:00,18.4,15,14,0.0 
7/4/2021 06:00,21.0,24,17,0.0 
7/4/2021 09:00,21.6,17,22,0.0 
7/4/2021 12:00,28.2,7,33,0.0 
7/4/2021 15:00,28.0,12,31,0.0 
7/4/2021 18:00,26.4,18,24,0.0 
7/4/2021 21:00,23.7,13,20,0.0 
8/4/2021 00:00,22.3,13,18,0.0 
8/4/2021 03:00,21.6,6,21,0.0 
8/4/2021 06:00,20.0,7,15,0.0 
8/4/2021 09:00,22.2,10,22,0.0 
8/4/2021 12:00,24.8,349,21,0.2 
8/4/2021 15:00,23.7,275,17,0.4 
8/4/2021 18:00,23.2,208,19,1.2 
8/4/2021 21:00,18.7,186,13,1.9 
