fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,13.9,51,12,0.0 
4/4/2021 03:00,13.1,67,11,0.0 
4/4/2021 06:00,13.4,58,7,0.0 
4/4/2021 09:00,17.7,63,10,0.0 
4/4/2021 12:00,22.8,33,15,0.0 
4/4/2021 15:00,23.9,29,17,0.0 
4/4/2021 18:00,20.4,43,10,0.0 
4/4/2021 21:00,16.3,62,12,0.0 
5/4/2021 00:00,14.5,64,12,0.0 
5/4/2021 03:00,13.7,58,9,0.0 
5/4/2021 06:00,13.8,72,10,0.0 
5/4/2021 09:00,17.7,72,11,0.0 
5/4/2021 12:00,23.9,41,13,0.0 
5/4/2021 15:00,26.1,32,10,0.0 
5/4/2021 18:00,23.6,81,7,0.0 
5/4/2021 21:00,20.7,79,13,0.0 
6/4/2021 00:00,17.4,70,13,0.0 
6/4/2021 03:00,16.0,66,11,0.0 
6/4/2021 06:00,15.6,81,10,0.0 
6/4/2021 09:00,18.6,74,12,0.0 
6/4/2021 12:00,24.7,50,18,0.0 
6/4/2021 15:00,27.0,46,16,0.0 
6/4/2021 18:00,23.6,56,13,0.0 
6/4/2021 21:00,17.8,78,14,0.0 
7/4/2021 00:00,16.1,68,13,0.0 
7/4/2021 03:00,15.9,56,12,0.0 
7/4/2021 06:00,15.9,38,12,0.0 
7/4/2021 09:00,19.7,30,17,0.0 
7/4/2021 12:00,26.2,10,21,0.0 
7/4/2021 15:00,27.8,7,20,0.0 
7/4/2021 18:00,23.5,357,14,0.0 
7/4/2021 21:00,19.9,31,13,0.0 
8/4/2021 00:00,20.3,30,15,0.0 
8/4/2021 03:00,21.0,15,14,0.0 
8/4/2021 06:00,18.9,4,16,0.0 
8/4/2021 09:00,21.1,345,21,0.0 
8/4/2021 12:00,24.9,339,24,0.0 
8/4/2021 15:00,27.2,327,24,0.0 
8/4/2021 18:00,24.8,354,16,0.0 
8/4/2021 21:00,17.2,149,15,3.6 
