fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,19.3,141,6,0.0 
13/4/2021 03:00,18.5,148,6,0.0 
13/4/2021 06:00,18.0,160,7,0.0 
13/4/2021 09:00,19.0,141,7,0.0 
13/4/2021 12:00,26.1,177,5,0.0 
13/4/2021 15:00,29.9,194,4,0.0 
13/4/2021 18:00,26.8,143,6,0.0 
13/4/2021 21:00,20.8,144,7,0.0 
14/4/2021 00:00,18.9,121,7,0.0 
14/4/2021 03:00,17.6,118,7,0.0 
14/4/2021 06:00,17.1,93,5,0.0 
14/4/2021 09:00,21.2,97,8,0.0 
14/4/2021 12:00,29.0,43,10,0.0 
14/4/2021 15:00,32.3,21,13,0.0 
14/4/2021 18:00,28.6,85,9,0.0 
14/4/2021 21:00,24.9,96,10,0.0 
15/4/2021 00:00,24.0,79,11,0.0 
15/4/2021 03:00,22.3,73,9,0.0 
15/4/2021 06:00,21.8,72,13,0.0 
15/4/2021 09:00,23.6,351,7,0.0 
15/4/2021 12:00,32.6,18,13,0.0 
15/4/2021 15:00,34.5,24,12,0.0 
15/4/2021 18:00,28.4,44,6,0.0 
15/4/2021 21:00,24.2,123,11,0.2 
16/4/2021 00:00,20.9,114,15,0.8 
16/4/2021 03:00,20.0,94,14,0.1 
16/4/2021 06:00,18.1,103,6,0.0 
16/4/2021 09:00,20.4,109,14,0.4 
16/4/2021 12:00,27.8,85,12,0.3 
16/4/2021 15:00,28.2,131,8,0.0 
16/4/2021 18:00,28.3,125,13,0.0 
16/4/2021 21:00,22.9,124,7,0.5 
17/4/2021 00:00,20.5,129,7,0.2 
17/4/2021 03:00,19.5,103,8,2.5 
17/4/2021 06:00,18.6,153,3,0.0 
17/4/2021 09:00,20.7,156,6,0.0 
17/4/2021 12:00,28.7,93,6,0.0 
17/4/2021 15:00,31.4,92,6,0.0 
17/4/2021 18:00,28.7,127,8,0.0 
17/4/2021 21:00,24.7,125,10,0.0 
