fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.1,171,9,0.0 
26/4/2021 03:00,10.0,167,7,0.0 
26/4/2021 06:00,9.4,179,6,0.0 
26/4/2021 09:00,11.5,179,7,0.0 
26/4/2021 12:00,16.6,198,9,0.0 
26/4/2021 15:00,18.1,210,9,0.0 
26/4/2021 18:00,16.7,212,7,0.0 
26/4/2021 21:00,15.8,177,5,0.0 
27/4/2021 00:00,12.8,170,3,0.0 
27/4/2021 03:00,11.5,176,3,0.0 
27/4/2021 06:00,10.7,227,5,0.0 
27/4/2021 09:00,13.0,226,2,0.0 
27/4/2021 12:00,18.2,289,4,0.0 
27/4/2021 15:00,19.6,304,5,0.0 
27/4/2021 18:00,16.1,347,7,0.0 
27/4/2021 21:00,13.7,358,4,0.0 
28/4/2021 00:00,13.1,355,5,0.0 
28/4/2021 03:00,12.5,330,5,0.0 
28/4/2021 06:00,11.8,290,6,0.0 
28/4/2021 09:00,13.9,287,5,0.0 
28/4/2021 12:00,19.1,300,8,0.0 
28/4/2021 15:00,20.6,310,10,0.0 
28/4/2021 18:00,16.6,339,7,0.0 
28/4/2021 21:00,14.7,332,7,0.0 
29/4/2021 00:00,14.0,342,6,0.0 
29/4/2021 03:00,13.4,317,7,0.0 
29/4/2021 06:00,12.3,296,6,0.0 
29/4/2021 09:00,14.4,320,8,0.0 
29/4/2021 12:00,19.5,343,12,0.0 
29/4/2021 15:00,20.1,351,13,0.0 
29/4/2021 18:00,16.2,10,7,0.0 
29/4/2021 21:00,14.4,42,7,0.0 
30/4/2021 00:00,13.8,28,8,0.0 
30/4/2021 03:00,12.9,21,8,0.0 
30/4/2021 06:00,12.1,19,8,0.0 
30/4/2021 09:00,14.6,16,11,0.0 
30/4/2021 12:00,19.2,0,14,0.0 
30/4/2021 15:00,20.7,4,14,0.0 
30/4/2021 18:00,17.0,51,8,0.0 
30/4/2021 21:00,15.8,53,9,0.0 
