fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,7.9,17,14,1.1 
13/4/2021 03:00,7.1,64,6,0.6 
13/4/2021 06:00,7.2,12,5,0.0 
13/4/2021 09:00,8.3,35,8,0.0 
13/4/2021 12:00,12.7,15,18,0.0 
13/4/2021 15:00,16.8,45,22,0.8 
13/4/2021 18:00,14.2,35,27,0.9 
13/4/2021 21:00,9.3,54,23,4.1 
14/4/2021 00:00,7.3,16,10,17.6 
14/4/2021 03:00,7.2,77,3,0.0 
14/4/2021 06:00,8.1,136,1,0.0 
14/4/2021 09:00,9.2,139,3,0.0 
14/4/2021 12:00,12.9,10,5,0.0 
14/4/2021 15:00,16.6,20,11,0.0 
14/4/2021 18:00,16.9,15,13,0.0 
14/4/2021 21:00,10.8,30,15,0.3 
15/4/2021 00:00,9.2,31,12,0.0 
15/4/2021 03:00,7.1,36,10,0.5 
15/4/2021 06:00,6.7,22,6,0.1 
15/4/2021 09:00,7.5,24,9,0.0 
15/4/2021 12:00,10.8,40,11,0.0 
15/4/2021 15:00,15.0,50,10,0.0 
15/4/2021 18:00,16.0,52,20,0.0 
15/4/2021 21:00,11.3,61,19,0.0 
16/4/2021 00:00,8.5,39,13,0.0 
16/4/2021 03:00,6.9,38,12,0.0 
16/4/2021 06:00,6.1,34,9,0.0 
16/4/2021 09:00,7.7,40,14,0.0 
16/4/2021 12:00,11.5,32,13,0.0 
16/4/2021 15:00,15.6,29,11,0.0 
16/4/2021 18:00,16.5,50,21,0.0 
16/4/2021 21:00,9.4,81,21,0.0 
17/4/2021 00:00,8.2,51,10,0.0 
17/4/2021 03:00,6.8,15,8,0.0 
17/4/2021 06:00,5.6,53,6,0.0 
17/4/2021 09:00,7.7,96,4,0.0 
17/4/2021 12:00,11.6,21,11,0.0 
17/4/2021 15:00,14.8,25,11,0.0 
17/4/2021 18:00,15.3,49,9,0.0 
17/4/2021 21:00,11.4,45,20,0.0 
