fecha,temp,vientodir,vientokm,precip
13/4/2021 00:00,17.0,168,8,0.0 
13/4/2021 03:00,15.3,207,13,0.0 
13/4/2021 06:00,13.9,218,10,0.0 
13/4/2021 09:00,15.2,208,12,0.0 
13/4/2021 12:00,21.3,150,7,0.0 
13/4/2021 15:00,25.5,99,9,0.0 
13/4/2021 18:00,26.0,85,12,0.0 
13/4/2021 21:00,20.9,103,20,0.0 
14/4/2021 00:00,18.6,59,8,0.0 
14/4/2021 03:00,16.8,161,5,0.0 
14/4/2021 06:00,15.5,207,9,0.0 
14/4/2021 09:00,16.5,214,12,0.0 
14/4/2021 12:00,22.0,138,3,0.0 
14/4/2021 15:00,26.1,65,8,0.0 
14/4/2021 18:00,26.9,133,9,0.0 
14/4/2021 21:00,22.1,198,17,0.0 
15/4/2021 00:00,20.0,213,12,0.0 
15/4/2021 03:00,18.3,194,13,0.0 
15/4/2021 06:00,16.7,196,14,0.0 
15/4/2021 09:00,18.0,208,12,0.0 
15/4/2021 12:00,23.9,173,9,0.0 
15/4/2021 15:00,27.8,140,10,0.0 
15/4/2021 18:00,28.3,114,10,0.0 
15/4/2021 21:00,23.2,97,17,0.0 
16/4/2021 00:00,20.9,60,4,0.0 
16/4/2021 03:00,20.2,218,7,0.0 
16/4/2021 06:00,18.3,206,12,0.0 
16/4/2021 09:00,19.3,237,9,0.0 
16/4/2021 12:00,24.0,205,5,0.0 
16/4/2021 15:00,27.0,133,9,0.5 
16/4/2021 18:00,25.7,136,9,0.0 
16/4/2021 21:00,23.1,105,21,0.0 
17/4/2021 00:00,20.5,105,7,0.0 
17/4/2021 03:00,19.4,60,4,0.1 
17/4/2021 06:00,18.7,237,7,0.1 
17/4/2021 09:00,19.6,238,7,0.2 
17/4/2021 12:00,22.2,172,7,0.5 
17/4/2021 15:00,25.9,93,7,0.2 
17/4/2021 18:00,25.1,18,5,0.0 
17/4/2021 21:00,23.5,104,8,0.0 
