fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,15.7,18,18,0.0 
4/4/2021 03:00,13.7,339,7,0.0 
4/4/2021 06:00,12.7,264,5,0.0 
4/4/2021 09:00,13.4,322,2,0.0 
4/4/2021 12:00,17.8,2,16,0.0 
4/4/2021 15:00,20.9,341,18,0.0 
4/4/2021 18:00,21.4,359,18,0.0 
4/4/2021 21:00,18.0,20,21,0.0 
5/4/2021 00:00,15.7,311,7,0.8 
5/4/2021 03:00,14.5,250,4,1.0 
5/4/2021 06:00,13.4,205,2,0.0 
5/4/2021 09:00,15.1,100,1,0.0 
5/4/2021 12:00,18.5,359,7,0.0 
5/4/2021 15:00,21.3,335,11,0.0 
5/4/2021 18:00,21.7,322,13,0.0 
5/4/2021 21:00,18.0,350,6,0.0 
6/4/2021 00:00,16.2,354,7,0.4 
6/4/2021 03:00,14.5,291,3,0.8 
6/4/2021 06:00,13.9,261,2,0.0 
6/4/2021 09:00,14.7,330,3,0.0 
6/4/2021 12:00,19.3,3,16,0.0 
6/4/2021 15:00,22.2,342,13,0.0 
6/4/2021 18:00,23.1,2,6,0.0 
6/4/2021 21:00,18.8,355,9,1.2 
7/4/2021 00:00,16.5,173,2,6.9 
7/4/2021 03:00,14.8,164,8,0.8 
7/4/2021 06:00,13.7,171,11,0.5 
7/4/2021 09:00,14.2,163,6,0.2 
7/4/2021 12:00,16.8,67,5,0.0 
7/4/2021 15:00,19.4,60,11,0.0 
7/4/2021 18:00,19.7,39,14,0.0 
7/4/2021 21:00,15.4,354,12,1.2 
8/4/2021 00:00,13.0,294,12,0.9 
8/4/2021 03:00,12.3,301,9,0.4 
8/4/2021 06:00,12.0,356,5,0.0 
8/4/2021 09:00,12.0,129,3,0.0 
8/4/2021 12:00,14.6,20,7,0.1 
8/4/2021 15:00,18.1,6,18,0.1 
8/4/2021 18:00,18.5,10,24,0.0 
8/4/2021 21:00,13.6,11,20,0.3 
