fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.0,326,16,0.0 
4/4/2021 03:00,14.2,347,13,0.0 
4/4/2021 06:00,12.6,355,12,0.0 
4/4/2021 09:00,13.5,14,11,0.0 
4/4/2021 12:00,21.4,3,25,0.0 
4/4/2021 15:00,25.4,354,33,0.0 
4/4/2021 18:00,25.0,318,31,0.0 
4/4/2021 21:00,20.0,312,17,0.0 
5/4/2021 00:00,18.5,286,14,0.0 
5/4/2021 03:00,15.0,255,3,0.0 
5/4/2021 06:00,13.5,200,5,0.0 
5/4/2021 09:00,15.5,97,5,0.0 
5/4/2021 12:00,21.1,69,11,0.0 
5/4/2021 15:00,22.8,43,21,0.0 
5/4/2021 18:00,22.5,32,34,0.0 
5/4/2021 21:00,18.5,42,13,0.7 
6/4/2021 00:00,16.0,48,34,0.0 
6/4/2021 03:00,14.2,34,20,0.3 
6/4/2021 06:00,14.0,11,13,2.1 
6/4/2021 09:00,15.1,360,12,2.9 
6/4/2021 12:00,19.2,259,17,0.1 
6/4/2021 15:00,20.4,282,30,0.0 
6/4/2021 18:00,18.3,271,38,0.0 
6/4/2021 21:00,15.1,274,29,0.0 
7/4/2021 00:00,12.3,252,17,0.0 
7/4/2021 03:00,11.1,269,13,0.0 
7/4/2021 06:00,10.8,256,12,0.0 
7/4/2021 09:00,10.6,255,10,0.0 
7/4/2021 12:00,14.8,261,26,0.0 
7/4/2021 15:00,17.1,267,32,0.0 
7/4/2021 18:00,16.3,273,32,0.0 
7/4/2021 21:00,13.8,274,20,0.0 
8/4/2021 00:00,10.9,242,24,0.0 
8/4/2021 03:00,9.8,260,23,0.0 
8/4/2021 06:00,8.5,263,21,0.0 
8/4/2021 09:00,8.8,268,22,0.0 
8/4/2021 12:00,13.1,264,32,0.0 
8/4/2021 15:00,15.8,266,38,0.0 
8/4/2021 18:00,13.1,235,35,0.0 
8/4/2021 21:00,10.2,258,36,0.0 
