fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.1,192,12,0.0 
25/4/2021 03:00,10.5,186,11,0.0 
25/4/2021 06:00,8.9,191,11,0.0 
25/4/2021 09:00,10.2,183,9,0.0 
25/4/2021 12:00,15.2,176,10,0.0 
25/4/2021 15:00,17.0,176,10,0.0 
25/4/2021 18:00,14.7,149,7,0.0 
25/4/2021 21:00,11.2,119,5,0.0 
26/4/2021 00:00,10.2,88,3,0.0 
26/4/2021 03:00,9.4,29,2,0.0 
26/4/2021 06:00,8.7,343,3,0.0 
26/4/2021 09:00,10.7,33,5,0.0 
26/4/2021 12:00,15.8,24,9,0.0 
26/4/2021 15:00,17.9,27,8,0.0 
26/4/2021 18:00,15.4,41,8,0.0 
26/4/2021 21:00,11.5,34,8,0.0 
27/4/2021 00:00,10.5,11,9,0.0 
27/4/2021 03:00,9.7,355,9,0.0 
27/4/2021 06:00,9.2,0,9,0.0 
27/4/2021 09:00,11.2,12,9,0.0 
27/4/2021 12:00,17.3,8,15,0.0 
27/4/2021 15:00,19.2,4,15,0.0 
27/4/2021 18:00,16.7,35,10,0.0 
27/4/2021 21:00,13.0,40,11,0.0 
28/4/2021 00:00,11.9,21,11,0.0 
28/4/2021 03:00,10.8,6,10,0.0 
28/4/2021 06:00,10.2,10,11,0.0 
28/4/2021 09:00,12.1,22,9,0.0 
28/4/2021 12:00,18.1,16,13,0.0 
28/4/2021 15:00,20.1,14,14,0.0 
28/4/2021 18:00,17.2,41,10,0.0 
28/4/2021 21:00,13.4,37,12,0.0 
29/4/2021 00:00,12.0,35,12,0.0 
29/4/2021 03:00,11.0,15,11,0.0 
29/4/2021 06:00,10.2,18,11,0.0 
29/4/2021 09:00,11.7,29,11,0.0 
29/4/2021 12:00,17.9,21,17,0.0 
29/4/2021 15:00,19.8,22,20,0.0 
29/4/2021 18:00,16.4,41,13,0.0 
29/4/2021 21:00,13.1,43,13,0.0 
