fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.6,211,9,0.0 
25/4/2021 03:00,10.8,213,9,0.0 
25/4/2021 06:00,9.3,228,8,0.0 
25/4/2021 09:00,11.8,218,10,0.0 
25/4/2021 12:00,16.6,195,11,0.0 
25/4/2021 15:00,18.3,171,10,0.0 
25/4/2021 18:00,15.6,200,9,0.0 
25/4/2021 21:00,13.3,189,7,0.0 
26/4/2021 00:00,14.4,169,8,0.2 
26/4/2021 03:00,12.5,159,7,0.0 
26/4/2021 06:00,11.7,173,7,0.0 
26/4/2021 09:00,14.2,173,7,0.0 
26/4/2021 12:00,17.4,153,7,0.0 
26/4/2021 15:00,17.3,106,8,0.0 
26/4/2021 18:00,14.7,55,5,0.0 
26/4/2021 21:00,13.2,54,3,0.0 
27/4/2021 00:00,10.9,337,5,0.0 
27/4/2021 03:00,9.9,324,4,0.0 
27/4/2021 06:00,9.2,305,4,0.0 
27/4/2021 09:00,12.2,329,4,0.0 
27/4/2021 12:00,18.8,351,3,0.0 
27/4/2021 15:00,19.7,92,5,0.0 
27/4/2021 18:00,14.4,72,6,0.0 
27/4/2021 21:00,11.8,350,6,0.0 
28/4/2021 00:00,11.0,345,6,0.0 
28/4/2021 03:00,10.2,325,6,0.0 
28/4/2021 06:00,9.5,324,5,0.0 
28/4/2021 09:00,12.6,322,5,0.0 
28/4/2021 12:00,19.4,332,5,0.0 
28/4/2021 15:00,21.1,335,4,0.0 
28/4/2021 18:00,15.9,358,4,0.0 
28/4/2021 21:00,12.3,344,6,0.0 
29/4/2021 00:00,11.4,356,6,0.0 
29/4/2021 03:00,10.5,351,5,0.0 
29/4/2021 06:00,9.8,340,5,0.0 
29/4/2021 09:00,12.7,352,6,0.0 
29/4/2021 12:00,19.0,21,8,0.0 
29/4/2021 15:00,20.4,20,9,0.0 
29/4/2021 18:00,15.0,8,5,0.0 
29/4/2021 21:00,12.5,25,6,0.0 
