fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,13.6,32,12,0.0 
4/4/2021 03:00,13.1,21,10,0.0 
4/4/2021 06:00,12.8,9,5,0.0 
4/4/2021 09:00,16.6,28,8,0.0 
4/4/2021 12:00,23.0,9,16,0.0 
4/4/2021 15:00,24.0,345,16,0.0 
4/4/2021 18:00,20.3,36,11,0.0 
4/4/2021 21:00,15.5,42,12,0.0 
5/4/2021 00:00,13.9,31,9,0.0 
5/4/2021 03:00,13.6,13,5,0.0 
5/4/2021 06:00,13.1,54,3,0.0 
5/4/2021 09:00,17.6,32,6,0.0 
5/4/2021 12:00,24.6,15,12,0.0 
5/4/2021 15:00,26.4,341,12,0.0 
5/4/2021 18:00,22.8,339,8,0.0 
5/4/2021 21:00,18.2,23,10,0.0 
6/4/2021 00:00,15.9,23,10,0.0 
6/4/2021 03:00,15.1,21,8,0.0 
6/4/2021 06:00,15.1,52,5,0.0 
6/4/2021 09:00,18.4,47,9,0.0 
6/4/2021 12:00,24.7,37,16,0.0 
6/4/2021 15:00,26.3,25,17,0.0 
6/4/2021 18:00,22.9,29,17,0.0 
6/4/2021 21:00,17.0,41,14,0.0 
7/4/2021 00:00,16.7,37,15,0.0 
7/4/2021 03:00,16.2,40,10,0.0 
7/4/2021 06:00,16.4,30,11,0.0 
7/4/2021 09:00,19.2,7,19,0.0 
7/4/2021 12:00,25.5,356,24,0.0 
7/4/2021 15:00,27.4,346,25,0.0 
7/4/2021 18:00,24.6,352,18,0.0 
7/4/2021 21:00,18.6,24,18,0.2 
8/4/2021 00:00,18.0,9,15,0.0 
8/4/2021 03:00,17.6,4,13,0.0 
8/4/2021 06:00,18.6,358,19,0.0 
8/4/2021 09:00,20.7,350,19,0.0 
8/4/2021 12:00,24.5,307,16,0.0 
8/4/2021 15:00,24.0,283,10,1.6 
8/4/2021 18:00,18.4,138,16,3.6 
8/4/2021 21:00,16.9,121,16,5.8 
