fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,14.1,117,14,0.0 
25/4/2021 03:00,12.4,137,3,0.0 
25/4/2021 06:00,11.4,129,3,0.0 
25/4/2021 09:00,12.7,131,7,0.0 
25/4/2021 12:00,17.1,75,11,0.0 
25/4/2021 15:00,19.7,59,13,0.0 
25/4/2021 18:00,20.1,52,10,0.0 
25/4/2021 21:00,17.3,132,8,0.0 
26/4/2021 00:00,15.2,50,12,0.0 
26/4/2021 03:00,13.4,17,5,0.0 
26/4/2021 06:00,12.6,102,6,0.0 
26/4/2021 09:00,12.7,86,9,0.0 
26/4/2021 12:00,17.0,61,9,0.0 
26/4/2021 15:00,21.1,50,10,0.0 
26/4/2021 18:00,21.8,43,11,0.0 
26/4/2021 21:00,17.5,61,13,0.0 
27/4/2021 00:00,14.9,29,9,0.0 
27/4/2021 03:00,12.9,8,3,0.0 
27/4/2021 06:00,12.1,63,5,0.0 
27/4/2021 09:00,12.5,41,5,0.0 
27/4/2021 12:00,17.6,26,11,0.0 
27/4/2021 15:00,22.0,21,15,0.0 
27/4/2021 18:00,22.8,15,16,0.0 
27/4/2021 21:00,18.0,36,9,0.0 
28/4/2021 00:00,14.9,33,9,0.0 
28/4/2021 03:00,13.2,320,4,0.0 
28/4/2021 06:00,12.2,41,4,0.0 
28/4/2021 09:00,13.3,47,4,0.0 
28/4/2021 12:00,18.2,60,11,0.0 
28/4/2021 15:00,22.7,44,13,0.0 
28/4/2021 18:00,23.3,21,17,0.0 
28/4/2021 21:00,18.1,29,8,0.0 
29/4/2021 00:00,15.1,39,9,0.0 
29/4/2021 03:00,13.2,327,1,0.0 
29/4/2021 06:00,12.6,98,7,0.0 
29/4/2021 09:00,12.0,112,9,0.0 
29/4/2021 12:00,18.3,25,14,0.0 
29/4/2021 15:00,22.9,13,23,0.0 
29/4/2021 18:00,23.5,26,16,0.0 
29/4/2021 21:00,18.1,56,19,0.0 
