fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,19.8,37,23,0.0 
4/4/2021 03:00,17.2,58,12,0.0 
4/4/2021 06:00,15.8,78,4,0.0 
4/4/2021 09:00,16.7,76,8,0.0 
4/4/2021 12:00,21.5,58,10,0.0 
4/4/2021 15:00,25.7,28,18,0.0 
4/4/2021 18:00,25.5,23,18,0.0 
4/4/2021 21:00,21.1,21,13,0.4 
5/4/2021 00:00,20.6,50,5,0.0 
5/4/2021 03:00,18.5,79,12,0.0 
5/4/2021 06:00,16.9,164,6,0.0 
5/4/2021 09:00,18.4,199,6,0.0 
5/4/2021 12:00,23.3,57,8,0.0 
5/4/2021 15:00,26.8,36,16,0.0 
5/4/2021 18:00,26.6,18,16,0.0 
5/4/2021 21:00,23.2,60,9,0.0 
6/4/2021 00:00,21.5,36,19,0.1 
6/4/2021 03:00,20.3,23,10,0.0 
6/4/2021 06:00,18.2,71,9,0.0 
6/4/2021 09:00,17.7,75,13,0.0 
6/4/2021 12:00,22.5,85,9,0.0 
6/4/2021 15:00,27.4,28,20,0.0 
6/4/2021 18:00,27.6,29,18,0.0 
6/4/2021 21:00,24.0,41,29,0.0 
7/4/2021 00:00,20.2,52,19,0.0 
7/4/2021 03:00,18.3,75,9,0.0 
7/4/2021 06:00,17.3,115,8,0.0 
7/4/2021 09:00,17.8,121,6,0.0 
7/4/2021 12:00,21.1,127,10,0.0 
7/4/2021 15:00,24.3,117,14,0.4 
7/4/2021 18:00,23.0,116,20,0.6 
7/4/2021 21:00,18.3,137,10,1.6 
8/4/2021 00:00,17.2,190,6,2.9 
8/4/2021 03:00,17.4,169,8,0.9 
8/4/2021 06:00,18.0,189,10,0.1 
8/4/2021 09:00,17.0,158,14,0.1 
8/4/2021 12:00,17.1,143,21,0.0 
8/4/2021 15:00,19.6,112,12,0.0 
8/4/2021 18:00,20.4,121,12,0.0 
8/4/2021 21:00,16.7,115,9,0.0 
