fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,10.5,212,13,0.0 
25/4/2021 03:00,9.2,225,12,0.0 
25/4/2021 06:00,8.4,222,13,0.0 
25/4/2021 09:00,10.6,213,15,0.0 
25/4/2021 12:00,16.1,191,17,0.0 
25/4/2021 15:00,16.7,169,15,0.0 
25/4/2021 18:00,14.6,159,9,0.0 
25/4/2021 21:00,13.5,160,8,0.0 
26/4/2021 00:00,13.2,138,10,0.0 
26/4/2021 03:00,9.9,114,8,0.0 
26/4/2021 06:00,9.4,130,6,0.0 
26/4/2021 09:00,11.7,130,6,0.0 
26/4/2021 12:00,17.0,164,4,0.0 
26/4/2021 15:00,18.3,183,4,0.0 
26/4/2021 18:00,16.4,160,2,0.0 
26/4/2021 21:00,13.1,87,7,0.0 
27/4/2021 00:00,11.4,42,5,0.0 
27/4/2021 03:00,10.3,15,4,0.0 
27/4/2021 06:00,9.7,339,6,0.0 
27/4/2021 09:00,12.0,341,7,0.0 
27/4/2021 12:00,17.5,327,10,0.0 
27/4/2021 15:00,19.3,321,9,0.0 
27/4/2021 18:00,15.8,1,8,0.0 
27/4/2021 21:00,13.0,359,11,0.0 
28/4/2021 00:00,11.6,347,11,0.0 
28/4/2021 03:00,10.5,330,10,0.0 
28/4/2021 06:00,9.9,317,9,0.0 
28/4/2021 09:00,12.5,325,9,0.0 
28/4/2021 12:00,18.4,319,11,0.0 
28/4/2021 15:00,20.6,315,10,0.0 
28/4/2021 18:00,16.7,349,9,0.0 
28/4/2021 21:00,13.5,344,11,0.0 
29/4/2021 00:00,12.1,356,9,0.0 
29/4/2021 03:00,10.9,336,9,0.0 
29/4/2021 06:00,10.1,337,10,0.0 
29/4/2021 09:00,12.4,346,10,0.0 
29/4/2021 12:00,18.5,4,15,0.0 
29/4/2021 15:00,20.5,0,15,0.0 
29/4/2021 18:00,16.1,6,9,0.0 
29/4/2021 21:00,12.9,21,12,0.0 
