fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.6,256,3,0.2 
25/4/2021 03:00,13.0,267,4,0.3 
25/4/2021 06:00,12.9,232,2,0.5 
25/4/2021 09:00,13.4,69,1,0.0 
25/4/2021 12:00,14.9,49,6,0.2 
25/4/2021 15:00,18.2,60,11,0.4 
25/4/2021 18:00,17.5,57,8,0.0 
25/4/2021 21:00,12.2,1,1,0.0 
26/4/2021 00:00,10.9,316,3,0.0 
26/4/2021 03:00,9.9,340,3,0.0 
26/4/2021 06:00,9.0,354,2,0.0 
26/4/2021 09:00,11.6,67,3,0.0 
26/4/2021 12:00,16.4,65,13,0.0 
26/4/2021 15:00,19.1,50,11,0.0 
26/4/2021 18:00,18.0,26,8,0.0 
26/4/2021 21:00,15.2,9,4,0.0 
27/4/2021 00:00,12.8,317,4,0.0 
27/4/2021 03:00,10.9,263,2,0.0 
27/4/2021 06:00,9.9,339,2,0.0 
27/4/2021 09:00,12.3,91,2,0.0 
27/4/2021 12:00,17.7,63,11,0.0 
27/4/2021 15:00,19.8,57,11,0.0 
27/4/2021 18:00,18.9,41,9,0.0 
27/4/2021 21:00,15.0,10,6,0.0 
28/4/2021 00:00,12.3,285,2,0.0 
28/4/2021 03:00,11.1,311,1,0.0 
28/4/2021 06:00,10.2,291,1,0.0 
28/4/2021 09:00,13.2,206,3,0.0 
28/4/2021 12:00,18.6,67,10,0.0 
28/4/2021 15:00,20.6,59,11,0.0 
28/4/2021 18:00,19.3,28,6,0.0 
28/4/2021 21:00,14.9,326,5,0.0 
29/4/2021 00:00,12.6,301,4,0.0 
29/4/2021 03:00,11.7,47,1,0.0 
29/4/2021 06:00,10.2,323,2,0.0 
29/4/2021 09:00,12.7,64,2,0.0 
29/4/2021 12:00,18.3,60,12,0.0 
29/4/2021 15:00,21.0,53,15,0.0 
29/4/2021 18:00,19.0,38,13,0.0 
29/4/2021 21:00,13.9,358,5,0.0 
