fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,18.5,112,12,0.0 
4/4/2021 03:00,16.9,108,12,0.0 
4/4/2021 06:00,15.6,95,13,0.0 
4/4/2021 09:00,19.3,86,12,0.0 
4/4/2021 12:00,25.5,84,11,0.0 
4/4/2021 15:00,27.7,71,11,0.0 
4/4/2021 18:00,25.3,75,8,0.0 
4/4/2021 21:00,21.4,119,10,0.0 
5/4/2021 00:00,19.8,67,8,0.0 
5/4/2021 03:00,18.4,74,10,0.0 
5/4/2021 06:00,18.1,72,10,0.0 
5/4/2021 09:00,20.9,34,10,0.0 
5/4/2021 12:00,23.7,358,11,0.0 
5/4/2021 15:00,23.0,326,17,0.0 
5/4/2021 18:00,21.3,4,8,0.0 
5/4/2021 21:00,19.2,9,11,0.8 
6/4/2021 00:00,18.7,359,7,0.0 
6/4/2021 03:00,17.6,335,4,0.0 
6/4/2021 06:00,17.3,31,3,0.0 
6/4/2021 09:00,19.9,54,6,0.0 
6/4/2021 12:00,24.0,79,9,0.4 
6/4/2021 15:00,26.5,69,11,0.6 
6/4/2021 18:00,24.9,67,11,0.0 
6/4/2021 21:00,22.8,78,11,0.0 
7/4/2021 00:00,19.7,68,12,0.0 
7/4/2021 03:00,18.0,66,12,0.0 
7/4/2021 06:00,17.3,54,11,0.0 
7/4/2021 09:00,20.9,46,15,0.0 
7/4/2021 12:00,26.2,33,20,0.0 
7/4/2021 15:00,28.4,40,16,0.0 
7/4/2021 18:00,26.1,57,12,0.0 
7/4/2021 21:00,21.4,62,14,0.0 
8/4/2021 00:00,20.1,44,13,0.0 
8/4/2021 03:00,18.9,66,12,0.0 
8/4/2021 06:00,18.1,39,12,0.0 
8/4/2021 09:00,22.1,13,16,0.0 
8/4/2021 12:00,24.2,6,20,0.0 
8/4/2021 15:00,29.5,358,15,0.0 
8/4/2021 18:00,26.8,27,9,0.0 
8/4/2021 21:00,23.0,16,12,0.0 
