fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,12.4,206,13,0.0 
25/4/2021 03:00,10.7,214,10,0.0 
25/4/2021 06:00,9.8,219,11,0.0 
25/4/2021 09:00,11.2,211,12,0.0 
25/4/2021 12:00,16.3,194,15,0.0 
25/4/2021 15:00,16.9,173,13,0.0 
25/4/2021 18:00,15.3,182,9,0.0 
25/4/2021 21:00,14.4,179,8,0.0 
26/4/2021 00:00,13.1,156,9,0.0 
26/4/2021 03:00,11.3,145,6,0.0 
26/4/2021 06:00,10.7,154,5,0.0 
26/4/2021 09:00,12.3,152,6,0.0 
26/4/2021 12:00,17.2,178,5,0.0 
26/4/2021 15:00,18.6,191,6,0.0 
26/4/2021 18:00,17.0,188,5,0.0 
26/4/2021 21:00,15.8,109,5,0.0 
27/4/2021 00:00,13.4,43,3,0.0 
27/4/2021 03:00,12.3,40,1,0.0 
27/4/2021 06:00,11.6,309,3,0.0 
27/4/2021 09:00,13.2,332,4,0.0 
27/4/2021 12:00,17.9,322,7,0.0 
27/4/2021 15:00,19.5,301,7,0.0 
27/4/2021 18:00,16.8,328,5,0.0 
27/4/2021 21:00,14.6,13,7,0.0 
28/4/2021 00:00,13.5,346,7,0.0 
28/4/2021 03:00,12.4,325,6,0.0 
28/4/2021 06:00,11.5,310,6,0.0 
28/4/2021 09:00,13.3,317,6,0.0 
28/4/2021 12:00,18.4,320,9,0.0 
28/4/2021 15:00,20.6,312,9,0.0 
28/4/2021 18:00,17.5,334,7,0.0 
28/4/2021 21:00,15.4,355,7,0.0 
29/4/2021 00:00,14.0,358,6,0.0 
29/4/2021 03:00,13.0,340,6,0.0 
29/4/2021 06:00,12.0,333,6,0.0 
29/4/2021 09:00,13.5,345,7,0.0 
29/4/2021 12:00,18.7,7,10,0.0 
29/4/2021 15:00,21.1,8,10,0.0 
29/4/2021 18:00,17.2,49,8,0.0 
29/4/2021 21:00,15.0,25,8,0.0 
