fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,20.3,68,10,0.0 
4/4/2021 03:00,19.6,74,16,0.0 
4/4/2021 06:00,18.4,38,12,0.0 
4/4/2021 09:00,19.3,22,12,0.0 
4/4/2021 12:00,26.5,357,31,0.0 
4/4/2021 15:00,30.1,8,36,0.0 
4/4/2021 18:00,30.3,14,33,0.0 
4/4/2021 21:00,25.7,14,30,0.0 
5/4/2021 00:00,23.5,9,21,0.0 
5/4/2021 03:00,21.0,25,10,0.0 
5/4/2021 06:00,19.2,70,8,0.0 
5/4/2021 09:00,19.8,61,7,0.0 
5/4/2021 12:00,24.8,42,11,0.0 
5/4/2021 15:00,29.6,6,15,0.0 
5/4/2021 18:00,28.6,322,15,0.0 
5/4/2021 21:00,24.6,59,11,0.4 
6/4/2021 00:00,24.6,34,33,0.0 
6/4/2021 03:00,22.7,31,33,0.3 
6/4/2021 06:00,21.3,25,25,0.6 
6/4/2021 09:00,21.5,15,25,0.0 
6/4/2021 12:00,26.3,329,22,0.2 
6/4/2021 15:00,28.2,271,19,0.3 
6/4/2021 18:00,26.4,205,30,0.1 
6/4/2021 21:00,20.9,208,32,0.0 
7/4/2021 00:00,18.7,204,12,0.0 
7/4/2021 03:00,16.8,138,9,0.0 
7/4/2021 06:00,15.5,194,8,0.0 
7/4/2021 09:00,16.3,225,8,0.0 
7/4/2021 12:00,20.5,254,9,0.0 
7/4/2021 15:00,23.1,275,17,0.0 
7/4/2021 18:00,23.0,251,6,0.0 
7/4/2021 21:00,19.7,73,5,0.0 
8/4/2021 00:00,16.9,237,24,0.0 
8/4/2021 03:00,15.2,224,19,0.0 
8/4/2021 06:00,13.6,223,14,0.0 
8/4/2021 09:00,14.2,238,13,0.0 
8/4/2021 12:00,19.7,254,25,0.0 
8/4/2021 15:00,22.7,250,26,0.0 
8/4/2021 18:00,22.0,245,33,0.0 
8/4/2021 21:00,17.5,236,19,0.0 
