fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.2,43,13,0.0 
4/4/2021 03:00,14.1,38,11,0.0 
4/4/2021 06:00,14.1,45,11,0.0 
4/4/2021 09:00,17.5,43,10,0.0 
4/4/2021 12:00,23.9,39,14,0.0 
4/4/2021 15:00,25.7,25,16,0.0 
4/4/2021 18:00,22.2,61,19,0.0 
4/4/2021 21:00,18.4,62,16,0.0 
5/4/2021 00:00,16.3,47,13,0.0 
5/4/2021 03:00,15.3,48,12,0.0 
5/4/2021 06:00,14.5,59,12,0.0 
5/4/2021 09:00,18.0,58,14,0.0 
5/4/2021 12:00,25.2,42,15,0.0 
5/4/2021 15:00,27.6,46,13,0.0 
5/4/2021 18:00,25.2,66,9,0.0 
5/4/2021 21:00,19.6,92,12,0.0 
6/4/2021 00:00,17.8,60,10,0.0 
6/4/2021 03:00,16.4,63,12,0.0 
6/4/2021 06:00,15.8,70,12,0.0 
6/4/2021 09:00,19.2,61,15,0.0 
6/4/2021 12:00,26.3,43,19,0.0 
6/4/2021 15:00,28.6,38,21,0.0 
6/4/2021 18:00,25.7,40,16,0.0 
6/4/2021 21:00,22.3,55,20,0.0 
7/4/2021 00:00,18.6,47,17,0.0 
7/4/2021 03:00,16.6,49,13,0.0 
7/4/2021 06:00,15.8,49,13,0.0 
7/4/2021 09:00,20.1,32,15,0.0 
7/4/2021 12:00,24.1,10,19,0.0 
7/4/2021 15:00,28.0,11,20,0.0 
7/4/2021 18:00,25.4,23,19,0.0 
7/4/2021 21:00,24.2,38,20,0.0 
8/4/2021 00:00,22.5,27,18,0.0 
8/4/2021 03:00,20.5,12,12,0.0 
8/4/2021 06:00,20.7,5,17,0.0 
8/4/2021 09:00,21.0,354,18,0.0 
8/4/2021 12:00,26.8,332,26,0.0 
8/4/2021 15:00,28.3,315,17,0.0 
8/4/2021 18:00,20.3,180,6,3.0 
8/4/2021 21:00,19.2,122,6,2.2 
