fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,11.0,256,2,0.0 
26/4/2021 03:00,9.4,161,1,0.0 
26/4/2021 06:00,9.2,135,2,0.0 
26/4/2021 09:00,14.1,145,5,0.0 
26/4/2021 12:00,19.6,159,6,0.0 
26/4/2021 15:00,21.0,170,7,0.0 
26/4/2021 18:00,15.0,167,4,0.0 
26/4/2021 21:00,10.7,178,2,0.0 
27/4/2021 00:00,9.7,153,2,0.0 
27/4/2021 03:00,8.6,137,3,0.0 
27/4/2021 06:00,7.6,138,3,0.0 
27/4/2021 09:00,13.4,145,5,0.0 
27/4/2021 12:00,19.7,159,7,0.0 
27/4/2021 15:00,21.2,166,7,0.0 
27/4/2021 18:00,15.1,167,3,0.0 
27/4/2021 21:00,10.4,182,2,0.0 
28/4/2021 00:00,8.8,140,3,0.0 
28/4/2021 03:00,7.7,133,3,0.0 
28/4/2021 06:00,6.7,132,4,0.0 
28/4/2021 09:00,12.8,137,5,0.0 
28/4/2021 12:00,19.8,152,8,0.0 
28/4/2021 15:00,22.0,158,8,0.0 
28/4/2021 18:00,15.1,147,4,0.0 
28/4/2021 21:00,10.9,141,3,0.0 
29/4/2021 00:00,8.9,146,2,0.0 
29/4/2021 03:00,7.3,119,3,0.0 
29/4/2021 06:00,6.4,114,3,0.0 
29/4/2021 09:00,13.1,124,5,0.0 
29/4/2021 12:00,22.1,118,6,0.0 
29/4/2021 15:00,24.9,143,6,0.0 
29/4/2021 18:00,17.3,145,4,0.0 
29/4/2021 21:00,13.8,50,2,0.0 
30/4/2021 00:00,12.2,88,2,0.0 
30/4/2021 03:00,11.4,62,4,0.0 
30/4/2021 06:00,10.8,66,4,0.0 
30/4/2021 09:00,17.4,49,6,0.0 
30/4/2021 12:00,24.9,19,7,0.0 
30/4/2021 15:00,26.8,340,5,0.0 
30/4/2021 18:00,19.1,347,3,0.0 
30/4/2021 21:00,15.5,44,3,0.0 
