fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,8.8,214,14,0.0 
25/4/2021 03:00,7.7,213,13,0.0 
25/4/2021 06:00,7.3,202,11,0.0 
25/4/2021 09:00,9.7,205,12,0.0 
25/4/2021 12:00,16.1,160,15,0.0 
25/4/2021 15:00,15.3,158,11,0.0 
25/4/2021 18:00,14.4,128,5,0.2 
25/4/2021 21:00,12.9,91,9,0.3 
26/4/2021 00:00,11.8,87,9,0.1 
26/4/2021 03:00,10.6,74,9,0.0 
26/4/2021 06:00,8.2,71,6,0.0 
26/4/2021 09:00,10.0,48,6,0.0 
26/4/2021 12:00,14.9,350,8,0.0 
26/4/2021 15:00,16.9,322,8,0.0 
26/4/2021 18:00,13.9,344,6,0.0 
26/4/2021 21:00,11.2,17,6,0.0 
27/4/2021 00:00,10.0,4,7,0.0 
27/4/2021 03:00,9.0,352,9,0.0 
27/4/2021 06:00,8.4,7,8,0.0 
27/4/2021 09:00,10.1,352,8,0.0 
27/4/2021 12:00,16.0,332,14,0.0 
27/4/2021 15:00,17.9,331,15,0.0 
27/4/2021 18:00,14.5,348,10,0.0 
27/4/2021 21:00,11.8,348,10,0.0 
28/4/2021 00:00,10.7,332,11,0.0 
28/4/2021 03:00,9.7,315,10,0.0 
28/4/2021 06:00,9.2,307,9,0.0 
28/4/2021 09:00,11.2,314,8,0.0 
28/4/2021 12:00,17.3,315,15,0.0 
28/4/2021 15:00,19.5,315,14,0.0 
28/4/2021 18:00,15.9,336,10,0.0 
28/4/2021 21:00,12.7,335,9,0.0 
29/4/2021 00:00,11.7,344,8,0.0 
29/4/2021 03:00,10.7,344,10,0.0 
29/4/2021 06:00,9.8,337,11,0.0 
29/4/2021 09:00,11.1,352,10,0.0 
29/4/2021 12:00,17.3,352,18,0.0 
29/4/2021 15:00,19.2,356,21,0.0 
29/4/2021 18:00,15.0,13,13,0.0 
29/4/2021 21:00,12.1,22,13,0.0 
