fecha,temp,vientodir,vientokm,precip
25/4/2021 00:00,15.5,169,8,3.2 
25/4/2021 03:00,15.0,292,5,0.6 
25/4/2021 06:00,14.1,354,3,0.0 
25/4/2021 09:00,15.5,28,0,0.0 
25/4/2021 12:00,18.7,126,5,0.8 
25/4/2021 15:00,21.7,134,6,0.7 
25/4/2021 18:00,20.2,281,5,0.2 
25/4/2021 21:00,16.6,305,3,0.2 
26/4/2021 00:00,15.9,341,1,0.0 
26/4/2021 03:00,15.8,235,2,0.0 
26/4/2021 06:00,15.1,149,2,0.0 
26/4/2021 09:00,15.8,175,2,0.0 
26/4/2021 12:00,21.9,141,5,0.0 
26/4/2021 15:00,22.8,114,6,0.0 
26/4/2021 18:00,19.4,80,3,0.0 
26/4/2021 21:00,17.9,295,3,0.0 
27/4/2021 00:00,17.1,333,3,0.0 
27/4/2021 03:00,16.6,351,1,0.0 
27/4/2021 06:00,16.3,48,2,0.0 
27/4/2021 09:00,16.3,112,1,0.0 
27/4/2021 12:00,21.4,125,3,0.0 
27/4/2021 15:00,23.8,112,7,0.0 
27/4/2021 18:00,21.0,106,6,0.0 
27/4/2021 21:00,17.0,354,1,0.0 
28/4/2021 00:00,17.4,349,4,0.0 
28/4/2021 03:00,16.8,332,2,0.0 
28/4/2021 06:00,16.2,125,2,0.0 
28/4/2021 09:00,16.6,180,1,0.0 
28/4/2021 12:00,21.3,152,5,0.0 
28/4/2021 15:00,24.4,132,7,0.0 
28/4/2021 18:00,21.3,116,4,0.0 
28/4/2021 21:00,15.8,341,4,0.0 
29/4/2021 00:00,14.8,346,4,0.0 
29/4/2021 03:00,14.2,15,3,0.0 
29/4/2021 06:00,13.0,112,1,0.0 
29/4/2021 09:00,15.7,173,1,0.0 
29/4/2021 12:00,23.3,134,3,0.0 
29/4/2021 15:00,25.3,108,7,0.0 
29/4/2021 18:00,22.0,97,8,0.0 
29/4/2021 21:00,15.7,13,3,0.0 
