fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,16.4,102,11,0.0 
4/4/2021 03:00,15.6,94,12,0.0 
4/4/2021 06:00,15.1,104,11,0.0 
4/4/2021 09:00,18.2,76,10,0.0 
4/4/2021 12:00,24.5,51,13,0.0 
4/4/2021 15:00,26.3,42,13,0.0 
4/4/2021 18:00,23.4,75,11,0.0 
4/4/2021 21:00,19.3,105,13,0.0 
5/4/2021 00:00,17.8,81,13,0.0 
5/4/2021 03:00,17.0,83,12,0.0 
5/4/2021 06:00,16.8,87,12,0.0 
5/4/2021 09:00,19.2,73,12,0.0 
5/4/2021 12:00,25.7,38,13,0.0 
5/4/2021 15:00,27.8,56,12,0.0 
5/4/2021 18:00,25.3,96,7,0.0 
5/4/2021 21:00,21.2,102,5,0.0 
6/4/2021 00:00,19.1,69,3,0.0 
6/4/2021 03:00,17.5,327,7,0.0 
6/4/2021 06:00,16.5,308,7,0.0 
6/4/2021 09:00,19.7,266,4,0.0 
6/4/2021 12:00,25.1,22,8,0.0 
6/4/2021 15:00,27.3,50,14,0.0 
6/4/2021 18:00,25.3,77,9,0.0 
6/4/2021 21:00,21.5,50,11,0.0 
7/4/2021 00:00,22.9,52,12,0.0 
7/4/2021 03:00,22.1,27,13,0.0 
7/4/2021 06:00,20.2,6,13,0.1 
7/4/2021 09:00,21.0,32,17,0.0 
7/4/2021 12:00,25.9,20,20,0.0 
7/4/2021 15:00,28.1,24,19,0.0 
7/4/2021 18:00,26.0,46,10,0.0 
7/4/2021 21:00,22.0,54,13,0.0 
8/4/2021 00:00,20.5,11,13,0.0 
8/4/2021 03:00,19.7,16,13,0.0 
8/4/2021 06:00,18.3,29,14,0.0 
8/4/2021 09:00,20.8,21,17,0.0 
8/4/2021 12:00,24.9,354,23,0.0 
8/4/2021 15:00,27.6,339,20,0.0 
8/4/2021 18:00,26.0,30,7,0.0 
8/4/2021 21:00,24.4,35,8,0.0 
