fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,12.3,315,7,0.0 
26/4/2021 03:00,11.1,288,10,0.0 
26/4/2021 06:00,10.2,288,9,0.0 
26/4/2021 09:00,9.9,297,10,0.0 
26/4/2021 12:00,15.6,298,13,0.0 
26/4/2021 15:00,18.5,282,16,0.0 
26/4/2021 18:00,17.9,260,9,0.0 
26/4/2021 21:00,13.9,312,6,0.0 
27/4/2021 00:00,13.2,324,14,0.0 
27/4/2021 03:00,12.3,334,14,0.0 
27/4/2021 06:00,11.5,322,13,0.0 
27/4/2021 09:00,11.4,318,14,0.0 
27/4/2021 12:00,16.4,313,28,0.0 
27/4/2021 15:00,20.1,308,38,0.0 
27/4/2021 18:00,18.1,297,28,0.0 
27/4/2021 21:00,15.5,290,15,0.0 
28/4/2021 00:00,14.1,287,12,0.0 
28/4/2021 03:00,13.3,250,10,0.0 
28/4/2021 06:00,12.1,314,8,0.0 
28/4/2021 09:00,11.7,346,6,0.0 
28/4/2021 12:00,13.7,49,6,0.0 
28/4/2021 15:00,15.9,25,6,0.0 
28/4/2021 18:00,15.9,233,3,0.0 
28/4/2021 21:00,14.9,332,4,0.0 
29/4/2021 00:00,14.3,326,7,0.0 
29/4/2021 03:00,14.0,319,10,0.0 
29/4/2021 06:00,13.2,302,11,0.0 
29/4/2021 09:00,12.8,306,12,0.0 
29/4/2021 12:00,17.2,299,21,0.0 
29/4/2021 15:00,19.5,294,26,0.0 
29/4/2021 18:00,17.6,303,14,0.0 
29/4/2021 21:00,15.6,307,13,0.0 
30/4/2021 00:00,14.7,330,14,0.0 
30/4/2021 03:00,13.1,336,15,0.0 
30/4/2021 06:00,12.5,312,17,0.0 
30/4/2021 09:00,12.4,304,20,0.0 
30/4/2021 12:00,15.5,301,30,0.0 
30/4/2021 15:00,16.1,311,30,0.0 
30/4/2021 18:00,14.4,303,39,0.0 
30/4/2021 21:00,12.8,301,19,0.0 
