fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,10.6,184,13,0.0 
26/4/2021 03:00,9.4,166,13,0.0 
26/4/2021 06:00,9.0,165,8,0.0 
26/4/2021 09:00,13.3,138,9,0.0 
26/4/2021 12:00,18.7,128,9,0.0 
26/4/2021 15:00,21.1,166,11,0.0 
26/4/2021 18:00,17.5,185,9,0.0 
26/4/2021 21:00,13.7,167,12,0.0 
27/4/2021 00:00,11.6,161,13,0.0 
27/4/2021 03:00,10.5,117,12,0.0 
27/4/2021 06:00,9.8,123,8,0.0 
27/4/2021 09:00,13.7,123,9,0.0 
27/4/2021 12:00,18.8,134,8,0.0 
27/4/2021 15:00,21.0,174,7,0.0 
27/4/2021 18:00,17.6,183,9,0.0 
27/4/2021 21:00,14.4,162,10,0.0 
28/4/2021 00:00,12.2,142,12,0.0 
28/4/2021 03:00,10.6,107,10,0.0 
28/4/2021 06:00,9.6,102,10,0.0 
28/4/2021 09:00,13.5,102,10,0.0 
28/4/2021 12:00,19.7,128,10,0.0 
28/4/2021 15:00,22.1,158,10,0.0 
28/4/2021 18:00,17.8,164,12,0.0 
28/4/2021 21:00,14.3,114,11,0.0 
29/4/2021 00:00,12.1,107,9,0.0 
29/4/2021 03:00,10.6,106,12,0.0 
29/4/2021 06:00,9.4,102,12,0.0 
29/4/2021 09:00,13.5,104,15,0.0 
29/4/2021 12:00,20.8,84,15,0.0 
29/4/2021 15:00,23.7,82,12,0.0 
29/4/2021 18:00,18.9,104,13,0.0 
29/4/2021 21:00,14.4,106,17,0.0 
30/4/2021 00:00,13.0,95,15,0.0 
30/4/2021 03:00,11.8,95,15,0.0 
30/4/2021 06:00,10.5,89,15,0.0 
30/4/2021 09:00,15.2,65,18,0.0 
30/4/2021 12:00,23.4,38,18,0.0 
30/4/2021 15:00,26.6,22,18,0.0 
30/4/2021 18:00,21.2,28,14,0.0 
30/4/2021 21:00,17.5,45,14,0.0 
