fecha,temp,vientodir,vientokm,precip
4/4/2021 00:00,19.6,93,8,0.0 
4/4/2021 03:00,20.4,105,7,0.0 
4/4/2021 06:00,20.0,91,7,0.0 
4/4/2021 09:00,21.0,88,8,0.0 
4/4/2021 12:00,27.2,81,9,0.0 
4/4/2021 15:00,29.7,74,9,0.0 
4/4/2021 18:00,26.0,55,7,0.0 
4/4/2021 21:00,24.1,90,9,0.0 
5/4/2021 00:00,22.4,99,8,0.0 
5/4/2021 03:00,22.1,35,7,0.0 
5/4/2021 06:00,19.6,88,7,0.8 
5/4/2021 09:00,19.9,82,8,3.1 
5/4/2021 12:00,22.9,97,7,0.9 
5/4/2021 15:00,26.1,72,13,0.5 
5/4/2021 18:00,22.8,78,13,3.4 
5/4/2021 21:00,19.9,88,16,8.5 
6/4/2021 00:00,19.5,52,13,4.2 
6/4/2021 03:00,18.3,42,8,0.6 
6/4/2021 06:00,17.7,103,8,0.0 
6/4/2021 09:00,19.0,92,10,0.0 
6/4/2021 12:00,20.8,70,10,0.0 
6/4/2021 15:00,23.0,41,6,0.0 
6/4/2021 18:00,25.2,98,7,0.0 
6/4/2021 21:00,20.4,72,7,0.0 
7/4/2021 00:00,19.0,91,8,0.0 
7/4/2021 03:00,18.1,58,6,0.0 
7/4/2021 06:00,17.6,59,7,0.0 
7/4/2021 09:00,20.7,59,8,0.0 
7/4/2021 12:00,26.8,37,11,0.0 
7/4/2021 15:00,27.9,20,9,0.0 
7/4/2021 18:00,25.1,51,8,0.0 
7/4/2021 21:00,22.8,74,11,0.0 
8/4/2021 00:00,20.9,73,11,0.0 
8/4/2021 03:00,21.2,55,8,0.0 
8/4/2021 06:00,21.5,52,10,0.0 
8/4/2021 09:00,21.9,59,9,0.0 
8/4/2021 12:00,29.2,21,14,0.0 
8/4/2021 15:00,32.4,17,18,0.0 
8/4/2021 18:00,27.2,61,15,0.0 
8/4/2021 21:00,24.8,67,14,0.0 
