fecha,temp,vientodir,vientokm,precip
26/4/2021 00:00,9.9,110,6,0.0 
26/4/2021 03:00,9.3,5,3,0.0 
26/4/2021 06:00,8.9,1,3,0.0 
26/4/2021 09:00,11.1,356,6,0.0 
26/4/2021 12:00,16.7,351,10,0.0 
26/4/2021 15:00,18.6,335,10,0.0 
26/4/2021 18:00,15.7,346,6,0.0 
26/4/2021 21:00,12.3,25,6,0.0 
27/4/2021 00:00,10.9,24,9,0.0 
27/4/2021 03:00,9.5,12,9,0.0 
27/4/2021 06:00,8.8,359,9,0.0 
27/4/2021 09:00,10.7,6,10,0.0 
27/4/2021 12:00,17.6,356,14,0.0 
27/4/2021 15:00,20.0,353,13,0.0 
27/4/2021 18:00,16.8,6,11,0.0 
27/4/2021 21:00,13.2,12,9,0.0 
28/4/2021 00:00,11.7,5,12,0.0 
28/4/2021 03:00,10.8,340,11,0.0 
28/4/2021 06:00,10.0,341,11,0.0 
28/4/2021 09:00,12.1,351,9,0.0 
28/4/2021 12:00,19.0,341,14,0.0 
28/4/2021 15:00,21.5,334,13,0.0 
28/4/2021 18:00,18.1,356,9,0.0 
28/4/2021 21:00,14.7,9,12,0.0 
29/4/2021 00:00,12.7,357,12,0.0 
29/4/2021 03:00,11.4,354,11,0.0 
29/4/2021 06:00,10.4,6,12,0.0 
29/4/2021 09:00,12.0,10,13,0.0 
29/4/2021 12:00,19.1,1,21,0.0 
29/4/2021 15:00,21.5,359,23,0.0 
29/4/2021 18:00,17.4,9,12,0.0 
29/4/2021 21:00,13.6,14,15,0.0 
30/4/2021 00:00,11.8,16,15,0.0 
30/4/2021 03:00,10.8,18,16,0.0 
30/4/2021 06:00,9.7,13,13,0.0 
30/4/2021 09:00,11.5,16,16,0.0 
30/4/2021 12:00,18.7,6,24,0.0 
30/4/2021 15:00,21.3,7,25,0.0 
30/4/2021 18:00,17.0,20,13,0.0 
30/4/2021 21:00,13.4,22,15,0.0 
